train/loss,train/n_updates,rollout/ep_len_mean,time/time_elapsed,rollout/success_rate,train/learning_rate,rollout/ep_rew_mean,time/fps,time/episodes,time/total_timesteps,rollout/exploration_rate
41.65559387207031,5747,20.04,17,0.15,0.0001,-841.3,1352,1000,23091,0.5612710000000005
54.074161529541016,10319,16.56,34,0.07,0.0001,-507.73,1193,2000,41379,0.21379900000000007
37.6407585144043,14712,13.18,53,0.07,0.0001,-204.38,1095,3000,58950,0.05
65.50487518310547,18420,12.89,70,0.06,0.0001,-171.65,1045,4000,73781,0.05
168.9278564453125,21781,13.04,86,0.05,0.0001,-182.11,1012,5000,87226,0.05
35.8067741394043,25088,13.79,101,0.11,0.0001,-241.86,990,6000,100453,0.05
86.02511596679688,28170,12.0,115,0.06,0.0001,-84.86,976,7000,112781,0.05
42.65983581542969,31319,11.68,129,0.09,0.0001,-34.36,965,8000,125378,0.05
94.46265411376953,34556,12.02,143,0.17,0.0001,-48.18,960,9000,138328,0.05
42.43986511230469,37779,15.88,158,0.05,0.0001,-442.33,953,10000,151218,0.05
118.22733306884766,40971,11.42,173,0.05,0.0001,-16.53,945,11000,163987,0.05
50.491180419921875,44254,12.0,188,0.1,0.0001,-69.24,939,12000,177117,0.05
94.23233032226562,47372,13.44,202,0.08,0.0001,-210.84,934,13000,189590,0.05
109.09087371826172,50645,13.17,217,0.07,0.0001,-203.22,930,14000,202684,0.05
147.0330352783203,53816,11.97,232,0.09,0.0001,-128.38,927,15000,215365,0.05
112.42683410644531,57098,14.26,247,0.13,0.0001,-291.49,923,16000,228494,0.05
201.8173828125,60332,11.47,262,0.07,0.0001,-1.67,920,17000,241430,0.05
238.85606384277344,63900,12.95,278,0.06,0.0001,-189.25,917,18000,255702,0.05
67.25337219238281,67384,14.03,294,0.08,0.0001,-267.93,915,19000,269639,0.05
175.09295654296875,71030,16.1,311,0.11,0.0001,-469.94,913,20000,284221,0.05
9.698606491088867,75188,15.74,330,0.1,0.0001,-462.32,911,21000,300856,0.05
200.48605346679688,78981,15.1,347,0.08,0.0001,-312.75,909,22000,316028,0.05
65.453369140625,82723,15.79,364,0.04,0.0001,-414.53,908,23000,330994,0.05
190.5382080078125,86712,20.01,382,0.08,0.0001,-862.21,907,24000,346951,0.05
261.3839416503906,91323,15.35,402,0.09,0.0001,-369.34,907,25000,365396,0.05
107.47427368164062,95070,13.43,419,0.16,0.0001,-205.71,906,26000,380383,0.05
119.10552978515625,98596,16.92,435,0.09,0.0001,-540.18,905,27000,394486,0.05
29.858638763427734,101995,13.03,451,0.08,0.0001,-210.8,904,28000,408083,0.05
3.049318790435791,105298,11.89,466,0.04,0.0001,-63.94,902,29000,421293,0.05
287.2420959472656,108691,14.65,482,0.08,0.0001,-320.13,902,30000,434866,0.05
208.4293212890625,112228,15.16,498,0.09,0.0001,-383.66,901,31000,449013,0.05
186.765380859375,115499,13.84,512,0.13,0.0001,-233.25,900,32000,462100,0.05
116.77532958984375,118784,13.4,528,0.11,0.0001,-201.17,899,33000,475240,0.05
112.82168579101562,122061,13.08,542,0.04,0.0001,-204.17,899,34000,488348,0.05
