time/fps,time/episodes,rollout/exploration_rate,time/total_timesteps,train/learning_rate,train/loss,rollout/success_rate,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed
512,1000,0.907888,24240,0.001,1.393917626142502,0.23,22230,-1111.66,22.87,47
481,2000,0.8264236,45678,0.001,1.7526182293891908,0.18,43670,-901.67,20.62,94
474,3000,0.7536992,64816,0.001,2.016714894771576,0.3,62810,-707.43,18.63,136
466,4000,0.6862339999999999,82570,0.001,2.486148500442505,0.32,80560,-520.58,16.38,176
459,5000,0.6232490000000002,99145,0.001,2.904953718185425,0.38,97140,-466.91,16.15,215
453,6000,0.5631482000000001,114961,0.001,3.2883614540100097,0.39,112960,-426.75,15.61,253
448,7000,0.5055744,130112,0.001,3.3890609741210938,0.37,128110,-390.77,15.51,290
444,8000,0.45100640000000003,144472,0.001,3.527161383628845,0.36,142470,-289.61,14.35,324
443,9000,0.3982776000000001,158348,0.001,3.65507390499115,0.4,156340,-225.65,13.46,357
440,10000,0.34714480000000003,171804,0.001,4.057249426841736,0.46,169800,-163.99,13.24,389
437,11000,0.2978664000000001,184772,0.001,4.4243857860565186,0.4,182770,-119.6,12.43,422
434,12000,0.251039,197095,0.001,4.555581784248352,0.44,195090,-84.1,11.82,453
431,13000,0.20510079999999986,209184,0.001,4.469260787963867,0.44,207180,-72.47,11.97,484
430,14000,0.15994160000000013,221068,0.001,4.567623496055603,0.38,219060,-41.76,11.63,513
427,15000,0.11639739999999987,232527,0.001,4.419970774650574,0.42,230520,-20.51,11.63,544
424,16000,0.07369680000000012,243764,0.001,4.7698582172393795,0.45,241760,16.91,11.42,574
421,17000,0.05,254865,0.001,4.945230197906494,0.46,252860,26.21,11.04,604
419,18000,0.05,265931,0.001,4.5318317174911495,0.41,263930,22.79,10.79,633
417,19000,0.05,276889,0.001,4.653237438201904,0.42,274880,36.71,10.49,663
415,20000,0.05,287802,0.001,4.811045598983765,0.4,285800,27.64,11.12,691
415,21000,0.05,298905,0.001,4.845393991470337,0.42,296900,37.66,11.05,720
413,22000,0.05,309979,0.001,4.5561330080032345,0.45,307970,31.53,10.73,749
412,23000,0.05,320985,0.001,4.801745796203614,0.48,318980,35.1,10.7,777
411,24000,0.05,332057,0.001,4.910948038101196,0.41,330050,20.97,11.13,806
410,25000,0.05,343017,0.001,4.749245834350586,0.39,341010,28.8,10.74,835
409,26000,0.05,354072,0.001,4.530974912643432,0.4,352070,28.49,11.19,865
408,27000,0.05,365059,0.001,4.379660129547119,0.36,363050,22.85,10.98,894
407,28000,0.05,376115,0.001,4.680427145957947,0.46,374110,33.12,11.19,923
406,29000,0.05,387139,0.001,4.42121434211731,0.49,385130,33.29,10.77,952
405,30000,0.05,398267,0.001,4.573935151100159,0.45,396260,26.26,11.04,981
404,31000,0.05,409393,0.001,4.362592554092407,0.34,407390,21.24,11.08,1011
403,32000,0.05,420501,0.001,4.411796045303345,0.42,418500,26.96,11.2,1041
403,33000,0.05,431590,0.001,4.425273871421814,0.48,429580,37.68,11.09,1070
402,34000,0.05,442708,0.001,4.529825925827026,0.4,440700,26.84,11.01,1100
401,35000,0.05,453939,0.001,4.431541514396668,0.4,451930,29.69,10.61,1130
400,36000,0.05,465202,0.001,4.3155790090560915,0.4,463200,20.63,11.29,1160
400,37000,0.05,476462,0.001,4.242400598526001,0.43,474460,37.67,10.92,1190
399,38000,0.05,487535,0.001,4.389287853240967,0.35,485530,21.83,11.23,1219
399,39000,0.05,498749,0.001,4.3445415735244755,0.46,496740,31.76,11.27,1249
