     93,    100,    107,    119,     89,    101,     78,     95,    461,    496,    531,    591,    441,    501,    386,    471
     71,     75,     76,     90,     78,     87,     77,     82,    351,    371,    376,    446,    386,    431,    381,    406
     57,     62,     59,     88,     60,     67,     67,     67,    281,    306,    291,    436,    296,    331,    331,    331
     29,     35,     40,     50,     37,     37,     39,     33,    141,    171,    196,    246,    181,    181,    191,    161
     25,     20,     20,     28,     24,     23,     17,     22,    121,     96,     96,    136,    116,    111,     81,    106
      7,      3,      9,      8,      7,      6,      9,      7,     31,     11,     41,     36,     31,     26,     41,     31
      2,      1,      1,      2,      1,      1,      1,      1,      6,      1,      1,      6,      1,      1,      1,      1
