      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1
      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1
      1,      2,      2,      2,      1,      2,      1,      1,      1,      6,      6,      6,      1,      6,      1,      1
     24,     15,     17,     18,     14,     18,     18,     13,    116,     71,     81,     86,     66,     86,     86,     61
    578,    586,    624,    752,    613,    562,    616,    619,   2886,   2926,   3116,   3756,   3061,   2806,   3076,   3091
   2444,   2433,   2428,   2708,   2442,   2480,   2490,   2493,  12216,  12161,  12136,  13536,  12206,  12396,  12446,  12461
