      8,      5,      2,      1,     16,      8,      7,      1,      7,      5,      2,     22,     13,      8,      3,      2,      2,      4,      1,      2,      2,      1,      2,      2,      3,      1,      1,      1,      3,      1,      2,     36,     21,      6,      1,     76,     36,     31,      1,     31,     21,      6,    106,     61,     36,     11,      6,      6,     16,      1,      6,      6,      1,      6,      6,     11,      1,      1,      1,     11,      1,      6
      5,      6,      2,      3,      6,      5,      4,      1,      4,      4,      1,     10,      6,      5,      4,      2,      1,      3,      1,      2,      1,      1,      1,      1,      1,      1,      2,      1,      2,      1,      1,     21,     26,      6,     11,     26,     21,     16,      1,     16,     16,      1,     46,     26,     21,     16,      6,      1,     11,      1,      6,      1,      1,      1,      1,      1,      1,      6,      1,      6,      1,      1
      2,      2,      1,      1,      2,      2,      1,      1,      2,      2,      1,      2,      1,      1,      2,      2,      1,      1,      1,      2,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      6,      6,      1,      1,      6,      6,      1,      1,      6,      6,      1,      6,      1,      1,      6,      6,      1,      1,      1,      6,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1
      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1
