    6,    5,    3,    7,    6,    5,    8,    4,   12,   15,    7,    8,    9,    9,   12,   16,    4,    1,    2,    4,    6,    4,    5,    8,    6,    5,    4,    5,    1,    1,    4,   27,   25,   32,   47,   21,   22,   35,   28,   59,   68,   50,   44,   35,   30,   40,   54,   31,    5,   11,   11,   21,   16,   16,   28,   23,   16,   23,   14,    1,   12,   20
    3,    2,    4,    5,    2,    5,    7,    6,    9,    7,    9,    9,    8,    5,    9,    9,    8,    1,    5,    1,    3,    4,    5,    2,    6,    1,    3,    2,    1,    4,    6,    7,   10,   17,   14,   12,   14,   23,   21,   32,   23,   30,   19,   17,   12,   25,   32,   18,    3,   11,    5,   11,   14,   13,    6,   17,    8,   11,   12,    1,   13,   15
    2,    4,    8,    7,    1,    3,    5,    5,    5,    5,    3,    7,    6,    1,    5,    4,    5,    1,    1,    1,    3,    2,    2,    2,    2,    2,    1,    3,    1,    1,    5,    2,    5,   10,    9,    2,    6,    7,    7,    7,    9,   10,    9,    7,    2,    6,    7,    8,    1,    1,    1,    4,    3,    2,    2,    3,    3,    4,    3,    1,    3,    7
    1,    1,    1,    1,    2,    1,    1,    1,    1,    1,    1,    2,    1,    1,    1,    1,    1,    1,    1,    2,    1,    2,    1,    1,    1,    1,    1,    1,    1,    1,    1,    1,    1,    2,    1,    2,    1,    1,    1,    1,    1,    1,    2,    1,    1,    2,    1,    2,    1,    1,    2,    1,    3,    1,    1,    1,    1,    1,    1,    1,    1,    1
