time/fps,time/episodes,rollout/exploration_rate,time/total_timesteps,train/learning_rate,train/loss,rollout/success_rate,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed
514,1000,0.9071888,24424,0.001,2.0273919701576233,0.26,22420,-1082.32,22.88,47
487,2000,0.8266744,45612,0.001,3.927893614768982,0.28,43610,-986.91,21.44,93
474,3000,0.7523122,65181,0.001,4.7854883670806885,0.22,63180,-699.66,18.91,137
468,4000,0.6844784,83032,0.001,4.928683805465698,0.4,81030,-605.28,17.89,177
463,5000,0.6210678000000001,99719,0.001,5.608868074417114,0.38,97710,-467.77,15.88,215
457,6000,0.5616510000000001,115355,0.001,6.160775756835937,0.37,113350,-343.02,14.86,252
453,7000,0.5051336,130228,0.001,6.539513206481933,0.4,128220,-323.73,14.48,287
448,8000,0.4503832000000001,144636,0.001,6.577582263946534,0.45,142630,-243.14,14.07,322
445,9000,0.39813319999999996,158386,0.001,6.983059406280518,0.37,156380,-196.27,13.37,355
442,10000,0.34734620000000005,171751,0.001,6.600380802154541,0.38,169750,-201.11,13.22,388
439,11000,0.2980906,184713,0.001,7.335626411437988,0.34,182710,-166.86,12.92,420
436,12000,0.25066659999999996,197193,0.001,8.03002314567566,0.48,195190,-90.46,12.02,451
433,13000,0.20448519999999992,209346,0.001,8.04146318435669,0.37,207340,-86.23,12.14,482
431,14000,0.15936020000000006,221221,0.001,8.059824085235595,0.45,219220,-27.02,11.78,512
429,15000,0.11526500000000006,232825,0.001,7.524049377441406,0.47,230820,-9.87,11.48,542
426,16000,0.07207799999999998,244190,0.001,7.921464586257935,0.34,242180,9.7,10.94,572
424,17000,0.05,255256,0.001,8.02095136642456,0.46,253250,32.56,11.03,601
422,18000,0.05,266283,0.001,8.14780921936035,0.49,264280,37.72,10.95,630
420,19000,0.05,277319,0.001,7.9771873474121096,0.47,275310,40.09,10.81,659
419,20000,0.05,288405,0.001,7.820827150344849,0.46,286400,31.14,10.89,688
417,21000,0.05,299426,0.001,8.469234514236451,0.33,297420,12.4,11.28,716
415,22000,0.05,310509,0.001,7.74256591796875,0.36,308500,22.35,11.03,747
414,23000,0.05,321600,0.001,8.089713096618652,0.45,319590,21.82,11.55,776
412,24000,0.05,332671,0.001,7.85662055015564,0.36,330670,20.03,10.65,805
411,25000,0.05,343756,0.001,8.26472249031067,0.48,341750,40.94,10.77,834
410,26000,0.05,354781,0.001,7.942092370986939,0.39,352780,25.71,11.12,863
409,27000,0.05,365867,0.001,8.153585290908813,0.48,363860,33.73,11.24,892
408,28000,0.05,376920,0.001,7.5539695739746096,0.47,374910,25.02,11.07,921
407,29000,0.05,387934,0.001,7.576203727722168,0.43,385930,32.68,10.91,951
406,30000,0.05,398996,0.001,8.243561410903931,0.44,396990,27.09,11.2,980
405,31000,0.05,410200,0.001,7.662108039855957,0.35,408190,26.19,10.97,1010
404,32000,0.05,421272,0.001,7.694128942489624,0.43,419270,35.38,10.68,1040
404,33000,0.05,432353,0.001,7.3599554061889645,0.37,430350,17.42,11.21,1069
403,34000,0.05,443421,0.001,8.026322174072266,0.34,441420,23.25,11.06,1099
402,35000,0.05,454600,0.001,7.749810218811035,0.35,452590,24.29,11.05,1128
402,36000,0.05,465700,0.001,7.780939340591431,0.38,463690,26.64,11.13,1158
401,37000,0.05,476753,0.001,7.515587854385376,0.42,474750,21.89,10.89,1187
401,38000,0.05,487758,0.001,7.532374620437622,0.38,485750,21.69,11.03,1215
400,39000,0.05,498861,0.001,7.613921070098877,0.34,496860,5.38,11.06,1244
