time/episodes,time/fps,rollout/ep_len_mean,train/loss,time/time_elapsed,rollout/ep_rew_mean,rollout/success_rate,train/learning_rate,time/total_timesteps,train/n_updates,rollout/exploration_rate
1000,520,23.3,34.33142204284668,47,-1174.37,0.14,1e-05,24953,22950,0.9051785999999999
2000,496,20.2,2.1029398798942567,92,-872.46,0.21,1e-05,45811,43810,0.8259182
3000,482,19.39,1.4074283123016358,134,-796.89,0.35,1e-05,65184,63180,0.7523008
4000,477,17.68,1.7750051259994506,175,-638.84,0.35,1e-05,83636,81630,0.6821832000000001
5000,470,16.79,1.7922332882881165,213,-513.84,0.37,1e-05,100300,98290,0.61886
6000,466,16.16,2.2056605219841003,249,-484.26,0.37,1e-05,116415,114410,0.557623
7000,462,14.46,2.2111174881458284,283,-320.93,0.45,1e-05,131301,129300,0.5010562000000001
8000,458,13.77,3.228649544715881,317,-262.6,0.47,1e-05,145536,143530,0.4469632
9000,455,13.75,3.005767357349396,349,-232.83,0.5,1e-05,159455,157450,0.39407099999999995
10000,451,13.1,3.7308656692504885,382,-199.78,0.45,1e-05,172687,170680,0.3437893999999999
11000,448,12.68,4.160822772979737,413,-133.51,0.59,1e-05,185375,183370,0.29557500000000003
12000,445,11.95,4.053323864936829,443,-100.82,0.44,1e-05,197646,195640,0.2489452000000001
13000,442,11.77,4.181896686553955,473,-46.32,0.47,1e-05,209716,207710,0.20307920000000002
14000,440,11.33,4.382819700241089,502,-27.93,0.52,1e-05,221304,219300,0.1590448
15000,437,11.1,5.395406460762024,531,8.82,0.61,1e-05,232579,230570,0.11619980000000008
16000,435,10.42,4.921743965148925,558,26.4,0.54,1e-05,243419,241410,0.07500780000000007
17000,433,10.58,5.09113187789917,586,51.48,0.57,1e-05,254115,252110,0.05
18000,431,10.48,5.670019865036011,614,66.04,0.73,1e-05,264790,262780,0.05
19000,429,10.65,5.623686408996582,641,49.85,0.57,1e-05,275479,273470,0.05
20000,427,10.71,6.105537557601929,669,35.13,0.57,1e-05,286175,284170,0.05
21000,425,10.5,6.099977207183838,698,50.71,0.59,1e-05,296827,294820,0.05
22000,423,10.44,6.13629264831543,726,51.13,0.63,1e-05,307515,305510,0.05
23000,422,10.82,5.911610651016235,753,53.18,0.63,1e-05,318216,316210,0.05
24000,420,10.48,6.48436861038208,781,52.15,0.63,1e-05,328821,326820,0.05
25000,420,10.82,5.69261360168457,808,44.99,0.56,1e-05,339525,337520,0.05
26000,418,10.87,5.978005886077881,836,40.39,0.57,1e-05,350295,348290,0.05
27000,417,10.76,6.115650844573975,864,47.85,0.56,1e-05,361077,359070,0.05
28000,417,10.46,5.858685255050659,891,40.52,0.53,1e-05,371680,369670,0.05
29000,416,10.87,6.5018630027771,918,42.65,0.55,1e-05,382366,380360,0.05
30000,415,10.77,5.99731810092926,946,49.09,0.67,1e-05,393056,391050,0.05
31000,414,10.88,5.892732238769531,974,46.9,0.55,1e-05,403767,401760,0.05
32000,413,10.38,6.261486005783081,1002,47.94,0.6,1e-05,414491,412490,0.05
33000,412,10.88,5.654559135437012,1030,47.77,0.59,1e-05,425178,423170,0.05
34000,411,10.45,6.136265754699707,1058,41.33,0.46,1e-05,435870,433860,0.05
35000,411,10.91,5.880780649185181,1086,40.92,0.55,1e-05,446728,444720,0.05
36000,410,10.65,5.841789722442627,1114,43.27,0.62,1e-05,457360,455350,0.05
37000,409,10.68,5.81189751625061,1141,46.35,0.61,1e-05,468033,466030,0.05
38000,409,10.94,6.0713378429412845,1169,29.66,0.53,1e-05,478724,476720,0.05
39000,408,10.66,5.964470338821411,1197,36.33,0.54,1e-05,489496,487490,0.05
