time/episodes,time/fps,rollout/ep_len_mean,train/loss,time/time_elapsed,rollout/ep_rew_mean,rollout/success_rate,train/learning_rate,time/total_timesteps,train/n_updates,rollout/exploration_rate
1000,502,24.9,40.442562103271484,49,-1348.98,0.14,1e-05,25096,24590,0.9205293333333333
2000,503,23.37,42.75172729492188,97,-1189.65,0.18,1e-05,48845,48340,0.8453241666666667
3000,495,20.25,51.67980537414551,140,-864.65,0.16,1e-05,69826,69320,0.7788843333333333
4000,490,17.9,53.272980499267575,180,-624.53,0.13,1e-05,88582,88080,0.7194903333333333
5000,486,15.98,44.0293586730957,216,-423.42,0.16,1e-05,105195,104690,0.6668825
6000,484,15.83,29.396348762512208,250,-402.86,0.17,1e-05,121137,120630,0.6163995
7000,478,15.56,18.94535312652588,285,-393.95,0.22,1e-05,136607,136100,0.5674111666666666
8000,475,14.59,13.824765586853028,319,-314.29,0.22,1e-05,151755,151250,0.5194425
9000,470,14.34,9.045205402374268,353,-270.04,0.2,1e-05,166349,165840,0.4732281666666668
10000,466,14.11,5.785687327384949,386,-242.17,0.18,1e-05,180434,179930,0.4286256666666667
11000,463,13.88,3.8993263244628906,419,-244.59,0.23,1e-05,194459,193950,0.3842131666666667
12000,460,13.28,3.1361353278160093,451,-199.29,0.28,1e-05,207852,207350,0.34180199999999983
13000,458,12.69,2.9025956988334656,481,-158.88,0.37,1e-05,220871,220370,0.3005751666666665
14000,457,12.22,3.1963040232658386,510,-104.08,0.36,1e-05,233645,233140,0.2601241666666667
15000,456,12.18,4.400243806838989,538,-83.2,0.55,1e-05,245938,245430,0.22119633333333333
16000,454,11.61,4.225647568702698,567,-36.04,0.49,1e-05,257821,257320,0.18356683333333323
17000,452,11.42,4.651039171218872,594,-18.77,0.48,1e-05,269331,268830,0.14711850000000004
18000,450,11.41,4.38965117931366,622,13.11,0.53,1e-05,280582,280080,0.11149033333333336
19000,448,11.19,5.58677761554718,651,22.56,0.56,1e-05,291720,291210,0.07621999999999995
20000,446,10.77,6.132250189781189,677,41.44,0.58,1e-05,302500,301990,0.05
21000,444,10.83,5.758203506469727,704,32.01,0.49,1e-05,313142,312640,0.05
22000,442,11.0,6.899770021438599,731,31.36,0.56,1e-05,323936,323430,0.05
23000,440,10.71,6.196141958236694,758,52.4,0.65,1e-05,334627,334120,0.05
24000,439,10.89,6.475401210784912,785,51.45,0.59,1e-05,345154,344650,0.05
25000,438,10.82,7.343091201782227,810,38.1,0.55,1e-05,355788,355280,0.05
26000,437,11.05,6.066681814193726,838,32.54,0.47,1e-05,366564,366060,0.05
27000,436,10.66,6.942535781860352,865,61.7,0.68,1e-05,377301,376800,0.05
28000,434,10.81,6.873838472366333,892,40.31,0.56,1e-05,388003,387500,0.05
29000,433,10.88,7.524688100814819,920,51.37,0.59,1e-05,398734,398230,0.05
30000,432,10.8,6.490961599349975,947,34.16,0.53,1e-05,409335,408830,0.05
31000,431,10.96,6.509264945983887,974,47.85,0.56,1e-05,420084,419580,0.05
32000,429,10.57,7.287174272537231,1001,47.46,0.56,1e-05,430739,430230,0.05
33000,428,10.8,7.47146372795105,1029,44.43,0.56,1e-05,441383,440880,0.05
34000,427,10.67,7.07104721069336,1056,48.8,0.58,1e-05,452158,451650,0.05
35000,426,11.0,7.065292024612427,1084,39.49,0.53,1e-05,462855,462350,0.05
36000,425,11.22,6.820211458206177,1112,32.06,0.47,1e-05,473632,473130,0.05
37000,424,10.64,6.860343170166016,1139,49.15,0.56,1e-05,484289,483780,0.05
38000,424,10.63,7.310663223266602,1166,38.25,0.57,1e-05,494947,494440,0.05
