train/n_updates,time/episodes,time/fps,train/loss,time/time_elapsed,time/total_timesteps,train/learning_rate,rollout/success_rate,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean
21870,1000,471,164.47740631103517,50,23873,0.0001,0.22,0.8488043333333335,21.14,-938.32
42020,2000,424,107.55107879638672,103,44021,0.0001,0.16,0.7212003333333334,18.07,-651.93
59340,3000,414,67.34030456542969,147,61342,0.0001,0.17,0.6115006666666667,17.07,-524.85
75210,4000,413,22.872073364257812,186,77219,0.0001,0.13,0.5109463333333335,15.46,-399.35
90010,5000,409,20.279893779754637,224,92011,0.0001,0.19,0.4172636666666666,14.22,-250.93
103820,6000,403,13.361995315551757,262,105826,0.0001,0.25,0.3297686666666668,13.69,-171.89
116640,7000,399,9.661641120910645,297,118642,0.0001,0.28,0.24860066666666658,12.32,-104.38
129080,8000,392,8.009912586212158,333,131085,0.0001,0.31,0.16979500000000003,12.51,-110.66
140850,9000,388,7.90840425491333,367,142860,0.0001,0.39,0.09522000000000008,11.13,-3.13
152100,10000,386,9.499146604537964,398,154102,0.0001,0.43,0.05,11.3,33.65
163100,11000,384,8.910406112670898,429,165106,0.0001,0.49,0.05,10.92,40.21
173940,12000,382,9.423093032836913,460,175944,0.0001,0.53,0.05,11.12,32.04
184830,13000,381,9.525612258911133,490,186838,0.0001,0.45,0.05,10.71,35.27
195780,14000,379,9.809038448333741,521,197782,0.0001,0.51,0.05,11.02,44.53
206550,15000,378,9.623542499542236,550,208555,0.0001,0.52,0.05,10.54,44.65
217430,16000,377,9.92514533996582,581,219437,0.0001,0.5,0.05,10.72,27.41
228410,17000,375,10.358339881896972,612,230417,0.0001,0.48,0.05,11.0,16.41
239250,18000,375,10.330828666687012,643,241255,0.0001,0.51,0.05,10.85,38.68
250180,19000,374,10.101801490783691,674,252183,0.0001,0.5,0.05,10.6,43.61
261070,20000,373,9.994793510437011,705,263075,0.0001,0.43,0.05,10.98,36.85
272030,21000,372,10.184762954711914,736,274040,0.0001,0.45,0.05,10.82,20.69
282820,22000,371,10.244283103942871,767,284824,0.0001,0.48,0.05,10.77,43.33
293570,23000,370,10.518168926239014,797,295576,0.0001,0.58,0.05,10.66,44.58
304340,24000,370,10.355205059051514,827,306346,0.0001,0.49,0.05,10.93,35.73
315240,25000,369,10.716984748840332,858,317245,0.0001,0.46,0.05,10.49,36.22
326020,26000,369,10.416971397399902,888,328029,0.0001,0.48,0.05,10.76,37.96
336870,27000,368,10.384855270385742,919,338879,0.0001,0.47,0.05,11.7,-36.86
347710,28000,368,10.5423415184021,949,349714,0.0001,0.54,0.05,10.87,31.99
358690,29000,367,10.733097171783447,980,360697,0.0001,0.46,0.05,10.73,33.99
369520,30000,367,10.570805072784424,1011,371525,0.0001,0.55,0.05,10.86,47.27
380420,31000,366,10.25785722732544,1042,382422,0.0001,0.57,0.05,11.16,40.73
391170,32000,366,11.277582454681397,1073,393172,0.0001,0.55,0.05,10.61,40.45
401920,33000,366,10.596372509002686,1103,403930,0.0001,0.58,0.05,10.67,43.26
412680,34000,366,10.242406940460205,1132,414683,0.0001,0.54,0.05,10.74,49.47
423510,35000,365,10.220699882507324,1162,425512,0.0001,0.47,0.05,10.77,28.44
434200,36000,365,10.015526485443115,1192,436202,0.0001,0.6,0.05,10.61,49.96
444910,37000,365,9.639176845550537,1223,446912,0.0001,0.53,0.05,10.66,42.51
455610,38000,365,10.387807273864746,1253,457620,0.0001,0.48,0.05,10.73,32.66
466400,39000,364,10.106819248199463,1283,468401,0.0001,0.57,0.05,10.38,50.94
477130,40000,364,10.362320041656494,1313,479132,0.0001,0.55,0.05,10.8,49.15
487970,41000,364,10.666879463195801,1344,489976,0.0001,0.53,0.05,11.11,41.53
