time/fps,time/episodes,rollout/exploration_rate,time/total_timesteps,train/learning_rate,train/loss,rollout/success_rate,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed
491,1000,0.9055700000000001,24850,1e-05,39.433685302734375,0.17,22840,-1186.59,23.05,50
476,2000,0.8243412000000001,46226,1e-05,23.095845413208007,0.18,44220,-799.51,19.24,96
467,3000,0.7520272000000001,65256,1e-05,8.174694633483886,0.4,63250,-676.98,18.08,139
458,4000,0.6836233999999999,83257,1e-05,2.0470603466033936,0.38,81250,-616.11,17.57,181
450,5000,0.6200342000000001,99991,1e-05,1.7278443455696106,0.31,97990,-509.52,16.4,221
446,6000,0.5593406000000001,115963,1e-05,2.1074352622032166,0.4,113960,-450.86,15.97,259
442,7000,0.5019834000000001,131057,1e-05,2.3337470054626466,0.48,129050,-366.75,15.25,296
437,8000,0.4481031999999999,145236,1e-05,2.5210859179496765,0.48,143230,-283.98,14.09,332
433,9000,0.3961458000000001,158909,1e-05,2.832595944404602,0.53,156900,-232.52,13.43,366
430,10000,0.3460618000000001,172089,1e-05,3.2849129021167753,0.54,170080,-150.46,12.8,399
428,11000,0.297836,184780,1e-05,3.8531601428985596,0.51,182770,-156.56,12.77,431
425,12000,0.2510655999999999,197088,1e-05,3.7073596239089968,0.49,195080,-101.49,12.06,462
422,13000,0.2055796000000002,209058,1e-05,4.32033474445343,0.63,207050,-28.93,11.68,494
420,14000,0.161207,220735,1e-05,4.398598337173462,0.57,218730,-48.08,11.57,524
417,15000,0.11849880000000002,231974,1e-05,4.63298020362854,0.53,229970,-0.61,10.95,555
415,16000,0.07676340000000015,242957,1e-05,5.0987502336502075,0.51,240950,19.89,11.0,584
413,17000,0.05,253676,1e-05,4.657797026634216,0.62,251670,56.16,10.52,613
411,18000,0.05,264285,1e-05,5.315487909317016,0.61,262280,43.74,10.45,642
409,19000,0.05,275040,1e-05,6.1886430263519285,0.63,273030,45.74,10.63,671
407,20000,0.05,285736,1e-05,6.72593994140625,0.58,283730,38.18,10.72,701
405,21000,0.05,296352,1e-05,6.202320194244384,0.55,294350,42.72,10.39,730
404,22000,0.05,306945,1e-05,6.285765171051025,0.57,304940,44.2,10.85,759
403,23000,0.05,317553,1e-05,6.275332832336426,0.58,315550,45.07,10.67,787
402,24000,0.05,328262,1e-05,5.934269571304322,0.56,326260,32.19,10.89,816
400,25000,0.05,338868,1e-05,5.966874837875366,0.57,336860,51.01,10.42,845
399,26000,0.05,349670,1e-05,6.109015369415284,0.53,347660,37.22,11.14,874
399,27000,0.05,360213,1e-05,5.5095006942749025,0.69,358210,60.93,10.71,901
398,28000,0.05,370868,1e-05,6.006860637664795,0.59,368860,44.74,10.76,931
397,29000,0.05,381624,1e-05,6.106339740753174,0.59,379620,35.2,10.6,959
396,30000,0.05,392345,1e-05,5.738590908050537,0.5,390340,40.42,10.52,988
396,31000,0.05,403161,1e-05,5.802046871185302,0.53,401160,35.16,10.87,1017
395,32000,0.05,413817,1e-05,6.186324691772461,0.58,411810,51.32,9.99,1045
394,33000,0.05,424411,1e-05,5.9951475143432615,0.61,422410,43.91,10.7,1074
394,34000,0.05,435084,1e-05,5.603296947479248,0.49,433080,39.52,10.94,1104
393,35000,0.05,445674,1e-05,5.605488872528076,0.45,443670,29.22,10.82,1132
392,36000,0.05,456261,1e-05,5.93925256729126,0.49,454260,43.35,10.53,1160
392,37000,0.05,466834,1e-05,5.3576758861541744,0.43,464830,29.4,10.79,1189
392,38000,0.05,477489,1e-05,5.566295433044433,0.58,475480,47.72,10.85,1217
391,39000,0.05,488143,1e-05,5.765417623519897,0.62,486140,56.47,10.76,1246
391,40000,0.05,498864,1e-05,5.649931144714356,0.55,496860,39.7,10.84,1274
