1.0,1.0,6.0,4.0,4.0,2.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,4.0,1.0,5.0,0.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,7.0
2.0,2.0,7.0,7.0,6.0,6.0,5.0,1.0,2.0,2.0,3.5,2.0,0.0,5.0,1.0,1.0,2.0,0.0,4.0,2.0,8.0,1.0,2.0,2.0,3.5,0.0,1.0,1.0,0.0,6.0
3.0,2.0,11.0,8.0,8.0,7.0,7.0,0.0,1.0,2.0,5.5,2.0,0.0,5.0,0.0,2.0,1.0,0.0,4.0,2.0,7.0,2.0,1.0,3.0,2.67,0.0,2.0,1.0,0.0,4.0
4.0,3.0,13.0,12.0,11.0,10.0,8.0,1.0,0.0,3.0,4.33,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,2.0,4.0,0.0,1.0,5.0,2.4,0.0,4.0,1.0,0.0,7.0
5.0,5.0,13.0,13.0,12.0,11.0,10.0,4.0,3.0,5.0,2.6,5.33,0.0,0.0,4.0,1.0,0.0,3.0,4.0,2.0,2.0,4.0,0.0,3.0,4.33,0.0,1.0,2.0,0.0,6.0
6.0,6.0,18.0,16.0,13.0,12.0,11.0,2.0,2.0,6.0,3.0,5.5,0.0,0.0,4.0,2.0,0.0,2.0,3.0,3.0,8.0,1.0,1.0,5.0,3.2,0.0,3.0,2.0,0.0,7.0
7.0,6.0,18.0,18.0,14.0,13.0,12.0,2.0,2.0,6.0,3.0,5.5,0.0,0.0,4.0,2.0,0.0,2.0,2.0,3.0,4.0,1.0,0.0,6.0,3.0,0.0,4.0,2.0,0.0,5.0
8.0,7.0,24.0,18.0,14.0,13.0,12.0,0.0,1.0,7.0,3.43,5.0,0.0,0.0,4.0,3.0,0.0,1.0,1.0,4.0,6.0,3.0,0.0,6.0,3.0,0.0,4.0,2.0,0.0,2.0
1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,2.33,0.0,5.0,1.0,0.0,2.0,1.0,4.0,0.0,3.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0
2.0,3.0,7.0,6.0,4.0,4.0,4.0,0.0,2.0,2.0,3.0,5.0,2.0,3.0,1.0,1.0,0.0,2.0,3.0,1.0,8.0,1.0,3.0,3.0,2.33,2.0,2.0,1.0,0.0,7.0
3.0,4.0,10.0,7.0,6.0,6.0,5.0,2.0,4.0,3.0,2.33,3.5,3.0,2.0,3.0,0.0,2.0,2.0,3.0,2.0,8.0,2.0,2.0,4.0,2.5,3.0,3.0,1.0,0.0,2.0
4.0,5.0,14.0,11.0,10.0,6.0,5.0,1.0,3.0,4.0,2.75,3.33,5.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,8.0,1.0,1.0,5.0,2.8,5.0,3.0,2.0,0.0,4.0
5.0,6.0,19.0,14.0,11.0,10.0,8.0,0.0,2.0,5.0,2.8,3.5,5.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,6.0,3.17,5.0,3.0,3.0,0.0,6.0
6.0,6.0,19.0,15.0,14.0,11.0,8.0,1.0,1.0,5.0,3.0,3.0,5.0,5.0,3.0,2.0,1.0,0.0,1.0,4.0,7.0,0.0,1.0,6.0,3.17,5.0,3.0,3.0,0.0,3.0
7.0,6.0,19.0,18.0,16.0,15.0,14.0,4.0,1.0,6.0,3.0,3.0,5.0,1.0,4.0,2.0,1.0,0.0,0.0,5.0,6.0,4.0,1.0,6.0,3.17,5.0,3.0,3.0,0.0,4.0
8.0,7.0,25.0,21.0,18.0,16.0,14.0,5.0,0.0,7.0,3.0,0.0,5.0,0.0,5.0,2.0,0.0,0.0,0.0,5.0,4.0,0.0,2.0,7.0,3.57,5.0,3.0,4.0,1.0,3.0
1.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,5.0,0.0,4.0,2.0,2.0,3.0,2.0,0.0,0.0,7.0
2.0,3.0,6.0,6.0,6.0,5.0,3.0,0.0,2.0,2.0,3.0,1.5,3.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,8.0,1.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,2.0
3.0,4.0,9.0,8.0,8.0,6.0,5.0,1.0,1.0,3.0,2.67,1.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,5.0,4.0,2.25,4.0,4.0,0.0,1.0,7.0
4.0,3.0,11.0,10.0,10.0,10.0,8.0,0.0,1.0,4.0,2.5,1.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,4.0,3.0,3.67,5.0,1.0,2.0,2.0,7.0
5.0,4.0,12.0,10.0,10.0,10.0,9.0,1.0,2.0,4.0,2.5,2.5,5.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,4.0,4.0,3.0,4.0,3.0,5.0,2.0,2.0,2.0,6.0
6.0,5.0,18.0,12.0,11.0,10.0,10.0,3.0,1.0,5.0,2.2,4.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,2.0,5.0,3.6,5.0,2.0,3.0,4.0,8.0
7.0,6.0,23.0,19.0,16.0,15.0,10.0,1.0,1.0,6.0,2.5,2.0,5.0,0.0,5.0,1.0,1.0,0.0,0.0,1.0,8.0,3.0,1.0,6.0,3.83,5.0,2.0,4.0,5.0,6.0
8.0,7.0,25.0,20.0,16.0,15.0,15.0,3.0,2.0,6.0,2.5,2.5,5.0,0.0,5.0,1.0,2.0,0.0,0.0,1.0,8.0,5.0,0.0,7.0,3.57,5.0,3.0,4.0,6.0,5.0
1.0,1.0,4.0,3.0,3.0,2.0,1.0,0.0,5.0,1.0,4.0,3.6,0.0,5.0,0.0,1.0,2.0,3.0,3.0,1.0,7.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,8.0
2.0,2.0,6.0,6.0,5.0,4.0,2.0,0.0,4.0,2.0,3.0,4.5,0.0,5.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,3.0,0.0,2.0,0.0,0.0,4.0
3.0,3.0,8.0,7.0,6.0,6.0,6.0,0.0,5.0,3.0,2.67,4.0,0.0,5.0,2.0,1.0,2.0,3.0,3.0,1.0,7.0,3.0,1.0,3.0,2.33,0.0,3.0,0.0,0.0,5.0
4.0,3.0,11.0,10.0,9.0,9.0,6.0,0.0,1.0,3.0,3.67,5.0,0.0,5.0,2.0,1.0,0.0,1.0,3.0,1.0,8.0,0.0,6.0,4.0,2.5,0.0,3.0,1.0,0.0,7.0
5.0,5.0,13.0,11.0,10.0,9.0,6.0,3.0,1.0,3.0,3.67,5.0,3.0,5.0,2.0,1.0,0.0,1.0,3.0,1.0,5.0,1.0,0.0,5.0,2.6,3.0,4.0,1.0,0.0,4.0
6.0,6.0,16.0,12.0,11.0,10.0,9.0,1.0,2.0,4.0,3.0,5.0,2.0,2.0,3.0,1.0,0.0,2.0,2.0,1.0,7.0,0.0,5.0,6.0,2.67,2.0,5.0,1.0,0.0,3.0
7.0,5.0,17.0,16.0,15.0,11.0,9.0,0.0,1.0,5.0,3.4,5.0,2.0,2.0,3.0,2.0,0.0,1.0,1.0,2.0,4.0,2.0,5.0,6.0,2.67,2.0,5.0,1.0,0.0,1.0
8.0,7.0,21.0,18.0,15.0,11.0,9.0,1.0,2.0,6.0,3.0,5.0,2.0,2.0,4.0,2.0,0.0,2.0,2.0,2.0,7.0,0.0,4.0,7.0,3.0,2.0,5.0,2.0,0.0,4.0
