time/episodes,time/fps,rollout/ep_len_mean,train/loss,time/time_elapsed,rollout/ep_rew_mean,rollout/success_rate,train/learning_rate,time/total_timesteps,train/n_updates,rollout/exploration_rate
1000,520,23.78,40.296010971069336,48,-1230.85,0.22,1e-05,25252,24750,0.9200353333333333
2000,500,23.43,40.885271072387695,99,-1173.18,0.24,1e-05,49531,49030,0.8431518333333333
3000,499,19.82,43.79805450439453,141,-814.17,0.19,1e-05,70393,69890,0.7770888333333333
4000,493,16.94,36.45318393707275,178,-539.58,0.14,1e-05,88050,87540,0.7211749999999999
5000,486,16.21,22.288430213928223,215,-450.28,0.24,1e-05,104801,104300,0.6681301666666666
6000,482,16.28,16.694926738739014,251,-461.43,0.25,1e-05,121410,120900,0.6155349999999999
7000,478,15.87,12.70531997680664,286,-404.7,0.23,1e-05,137238,136730,0.5654130000000002
8000,473,14.92,9.088129806518555,321,-314.16,0.32,1e-05,152378,151870,0.5174696666666667
9000,470,14.05,7.353806781768799,354,-280.41,0.27,1e-05,166917,166410,0.47142950000000006
10000,467,13.69,5.775982022285461,387,-216.74,0.34,1e-05,181258,180750,0.4260163333333332
11000,463,13.89,4.935431456565857,420,-223.48,0.39,1e-05,195125,194620,0.3821041666666667
12000,460,13.26,3.9974525213241576,452,-139.98,0.38,1e-05,208477,207970,0.3398228333333333
13000,457,12.54,3.428063654899597,484,-108.51,0.46,1e-05,221451,220950,0.2987385
14000,454,12.33,3.1888287127017976,515,-94.24,0.56,1e-05,233891,233390,0.25934516666666674
15000,451,11.77,3.820071578025818,545,-46.19,0.49,1e-05,245986,245480,0.22104433333333318
16000,449,11.66,4.632666826248169,573,-25.88,0.55,1e-05,257866,257360,0.1834243333333334
17000,447,11.21,4.896278500556946,602,-20.5,0.53,1e-05,269438,268930,0.14677966666666675
18000,444,10.78,5.7028703689575195,630,23.7,0.63,1e-05,280584,280080,0.11148400000000003
19000,442,10.67,5.499714732170105,659,12.63,0.53,1e-05,291621,291120,0.07653350000000003
20000,441,10.92,6.719759178161621,685,34.31,0.55,1e-05,302366,301860,0.05
21000,439,10.59,5.85670747756958,712,39.15,0.46,1e-05,313231,312730,0.05
22000,437,11.42,5.984039282798767,739,32.75,0.56,1e-05,323999,323490,0.05
23000,436,10.47,6.004413890838623,767,49.16,0.56,1e-05,334825,334320,0.05
24000,434,10.69,7.03286657333374,794,44.34,0.57,1e-05,345543,345040,0.05
25000,432,10.68,6.736630153656006,822,46.14,0.6,1e-05,356241,355740,0.05
26000,431,10.71,6.926951551437378,850,56.86,0.65,1e-05,366948,366440,0.05
27000,430,10.91,6.998037338256836,877,47.38,0.56,1e-05,377682,377180,0.05
28000,429,10.59,6.412283229827881,904,31.65,0.46,1e-05,388380,387870,0.05
29000,428,10.85,6.469507837295533,931,51.21,0.59,1e-05,399181,398680,0.05
30000,427,10.58,6.399716138839722,959,42.6,0.52,1e-05,409834,409330,0.05
31000,426,10.76,6.94931583404541,986,49.41,0.59,1e-05,420490,419980,0.05
32000,425,10.51,7.0199816703796385,1013,37.95,0.5,1e-05,431251,430750,0.05
33000,424,10.7,7.1469409465789795,1040,52.61,0.6,1e-05,441882,441380,0.05
34000,424,10.51,7.158415508270264,1067,40.83,0.5,1e-05,452502,452000,0.05
35000,423,10.68,6.583921957015991,1093,60.42,0.65,1e-05,463183,462680,0.05
36000,422,10.89,6.555285406112671,1120,47.11,0.56,1e-05,473986,473480,0.05
37000,422,10.58,7.156838607788086,1148,41.58,0.51,1e-05,484637,484130,0.05
38000,421,10.93,6.790984201431274,1176,45.36,0.53,1e-05,495369,494860,0.05
