train/n_updates,time/episodes,time/fps,train/loss,time/time_elapsed,time/total_timesteps,train/learning_rate,rollout/success_rate,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean
22710,1000,460,30.154617309570312,53,24720,1e-05,0.21,0.906064,22.63,-1092.21
44120,2000,443,1.6199344277381897,104,46124,1e-05,0.14,0.8247288,20.67,-938.04
63700,3000,427,1.5221379697322845,153,65708,1e-05,0.31,0.7503096,19.15,-723.38
81780,4000,417,1.6713037252426148,200,83789,1e-05,0.4,0.6816017999999999,16.56,-550.94
98420,5000,412,1.9283828854560852,243,100427,1e-05,0.49,0.6183774000000001,15.99,-460.74
114250,6000,408,2.4092381417751314,284,116251,1e-05,0.32,0.5582462,15.26,-430.74
129240,7000,404,2.3064061403274536,324,131249,1e-05,0.37,0.5012538,14.82,-348.95
143420,8000,399,3.1072544932365416,364,145423,1e-05,0.53,0.44739260000000014,13.62,-229.03
157060,9000,394,3.3032312631607055,402,159067,1e-05,0.49,0.39554540000000016,13.23,-194.2
170290,10000,392,3.121262288093567,439,172295,1e-05,0.43,0.3452790000000001,13.33,-176.85
182940,11000,390,3.1553193092346192,473,184948,1e-05,0.57,0.29719760000000006,11.78,-71.74
195310,12000,390,3.682945990562439,505,197313,1e-05,0.5,0.25021060000000017,12.27,-94.31
207170,13000,387,4.0814104080200195,540,209178,1e-05,0.55,0.20512360000000018,11.65,-42.4
218740,14000,385,4.458207798004151,572,220749,1e-05,0.62,0.16115380000000012,11.35,-22.45
230080,15000,385,4.730963087081909,602,232081,1e-05,0.69,0.11809220000000009,11.04,13.58
241090,16000,383,5.155736207962036,633,243097,1e-05,0.5,0.07623140000000006,11.06,16.21
251780,17000,383,5.3427797794342045,661,253782,1e-05,0.57,0.05,10.53,48.18
262420,18000,381,5.595083856582642,693,264425,1e-05,0.48,0.05,10.66,35.61
273100,19000,378,5.8946943283081055,727,275103,1e-05,0.57,0.05,10.73,48.94
283780,20000,376,5.746747398376465,759,285784,1e-05,0.66,0.05,10.78,58.81
294360,21000,373,6.292315340042114,792,296363,1e-05,0.59,0.05,10.56,34.62
304970,22000,371,5.596126556396484,825,306979,1e-05,0.53,0.05,10.68,39.62
315730,23000,370,6.326488876342774,858,317732,1e-05,0.55,0.05,10.34,57.8
326350,24000,368,5.935573720932007,891,328352,1e-05,0.58,0.05,10.92,41.35
336980,25000,366,6.136172151565551,924,338990,1e-05,0.59,0.05,10.64,47.94
347550,26000,365,6.394111776351929,957,349558,1e-05,0.5,0.05,10.43,20.21
358170,27000,363,5.936059904098511,990,360179,1e-05,0.67,0.05,10.62,56.15
368850,28000,362,5.862359523773193,1023,370856,1e-05,0.57,0.05,10.69,41.75
379510,29000,361,6.541409206390381,1055,381519,1e-05,0.6,0.05,10.61,45.8
390270,30000,360,6.265092849731445,1087,392272,1e-05,0.62,0.05,10.88,51.22
400900,31000,360,5.871350908279419,1119,402908,1e-05,0.58,0.05,10.67,44.79
411480,32000,359,6.0703997135162355,1151,413486,1e-05,0.56,0.05,10.54,30.4
422140,33000,358,5.772231101989746,1183,424150,1e-05,0.5,0.05,10.65,41.95
432850,34000,358,5.621550369262695,1214,434851,1e-05,0.48,0.05,10.62,42.93
443460,35000,357,5.710856199264526,1246,445465,1e-05,0.59,0.05,10.36,52.79
454190,36000,357,5.743866395950318,1275,456191,1e-05,0.64,0.05,10.75,53.06
464900,37000,357,6.011451339721679,1307,466907,1e-05,0.53,0.05,10.58,41.03
475620,38000,356,5.7956208229064945,1337,477625,1e-05,0.57,0.05,11.24,38.95
486190,39000,356,5.68671145439148,1368,488199,1e-05,0.48,0.05,10.34,37.07
496790,40000,356,5.389742231369018,1398,498795,1e-05,0.6,0.05,11.01,50.41
