time/fps,time/episodes,rollout/exploration_rate,time/total_timesteps,train/learning_rate,train/loss,rollout/success_rate,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed
520,1000,0.9034534,25407,1e-05,40.41208839416504,0.22,23400,-1193.76,23.55,48
492,2000,0.8132224000000001,49152,1e-05,63.25524482727051,0.22,47150,-1128.18,22.47,99
482,3000,0.7328942,70291,1e-05,86.84186553955078,0.22,68290,-870.84,20.42,145
473,4000,0.6605003999999999,89342,1e-05,139.73067245483398,0.15,87340,-654.76,18.15,188
468,5000,0.601437,104885,1e-05,135.10508193969727,0.1,102880,-381.67,15.4,223
465,6000,0.5435136,120128,1e-05,119.03213806152344,0.12,118120,-368.58,15.19,258
460,7000,0.48738380000000003,134899,1e-05,92.07292404174805,0.13,132890,-317.34,14.54,292
457,8000,0.4332413999999999,149147,1e-05,56.808156967163086,0.06,147140,-277.37,14.18,326
455,9000,0.38246579999999997,162509,1e-05,27.405342864990235,0.05,160500,-162.6,12.86,356
452,10000,0.33208159999999987,175768,1e-05,16.748784065246582,0.08,173760,-178.47,13.17,388
448,11000,0.2826854,188767,1e-05,10.765165519714355,0.17,186760,-141.42,13.08,420
445,12000,0.23364260000000003,201673,1e-05,8.479186868667602,0.21,199670,-135.1,12.66,452
442,13000,0.18642760000000003,214098,1e-05,7.217198610305786,0.18,212090,-74.69,12.14,484
438,14000,0.14034880000000016,226224,1e-05,5.655605602264404,0.16,224220,-61.73,12.14,515
435,15000,0.09577860000000016,237953,1e-05,4.4341624021530155,0.21,235950,-13.32,11.56,546
433,16000,0.05187339999999996,249507,1e-05,3.9547934770584106,0.27,247500,16.9,11.27,575
430,17000,0.05,260950,1e-05,3.921329212188721,0.24,258940,13.59,11.49,605
428,18000,0.05,272254,1e-05,3.2611550807952883,0.31,270250,23.04,11.32,635
426,19000,0.05,283640,1e-05,3.155513572692871,0.25,281630,12.87,11.23,665
424,20000,0.05,294900,1e-05,3.648204302787781,0.29,292890,22.64,11.07,694
422,21000,0.05,306243,1e-05,3.925080966949463,0.3,304240,29.91,10.98,724
421,22000,0.05,317586,1e-05,4.241524362564087,0.33,315580,13.12,11.67,754
420,23000,0.05,328912,1e-05,4.349568843841553,0.33,326910,17.86,11.42,782
418,24000,0.05,340173,1e-05,4.619160127639771,0.37,338170,31.65,11.57,811
417,25000,0.05,351392,1e-05,5.02204475402832,0.35,349390,27.61,11.2,841
415,26000,0.05,362522,1e-05,4.596804594993591,0.33,360520,21.71,11.17,871
414,27000,0.05,373691,1e-05,5.179266500473022,0.38,371690,34.6,11.16,901
413,28000,0.05,384878,1e-05,5.292023038864135,0.37,382870,22.85,11.27,930
412,29000,0.05,396023,1e-05,5.527014827728271,0.37,394020,21.04,11.05,959
411,30000,0.05,406975,1e-05,6.281818294525147,0.56,404970,45.99,11.05,988
410,31000,0.05,417967,1e-05,6.21307225227356,0.52,415960,42.2,10.47,1017
409,32000,0.05,428867,1e-05,6.694558382034302,0.52,426860,46.34,10.96,1046
409,33000,0.05,439705,1e-05,7.316691303253174,0.55,437700,50.53,10.83,1074
408,34000,0.05,450654,1e-05,7.7279492855072025,0.62,448650,55.04,11.19,1103
407,35000,0.05,461394,1e-05,7.716614151000977,0.5,459390,45.67,10.82,1131
406,36000,0.05,472231,1e-05,8.175168228149413,0.54,470230,38.18,10.76,1160
406,37000,0.05,483037,1e-05,8.585239505767822,0.46,481030,34.52,10.93,1188
405,38000,0.05,493866,1e-05,8.58398141860962,0.58,491860,32.94,10.92,1217
