time/fps,time/episodes,rollout/exploration_rate,time/total_timesteps,train/learning_rate,train/loss,rollout/success_rate,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed
531,1000,0.9041868,25214,1e-05,41.752183532714845,0.15,23210,-1304.14,24.6,47
495,2000,0.814693,48765,1e-05,48.86859550476074,0.18,46760,-1199.16,23.9,98
483,3000,0.739776,68480,1e-05,50.97321968078613,0.22,66470,-742.42,19.28,141
474,4000,0.6741461999999999,85751,1e-05,47.5396167755127,0.13,83750,-535.79,16.82,180
468,5000,0.6120846000000001,102083,1e-05,36.80002212524414,0.15,100080,-430.34,16.15,218
461,6000,0.5539636000000001,117378,1e-05,23.673783111572266,0.08,115370,-402.75,15.55,254
457,7000,0.4978376000000001,132148,1e-05,13.882165718078614,0.15,130140,-324.9,14.72,288
454,8000,0.44303400000000015,146570,1e-05,9.235986185073852,0.19,144560,-290.93,14.66,322
450,9000,0.38977700000000015,160585,1e-05,6.397077465057373,0.17,158580,-253.0,13.87,356
448,10000,0.3382946000000001,174133,1e-05,4.018071269989013,0.22,172130,-144.03,12.6,388
444,11000,0.2886134,187207,1e-05,2.4717066407203676,0.28,185200,-154.62,13.16,421
441,12000,0.24080560000000018,199788,1e-05,2.3931974172592163,0.41,197780,-86.51,12.11,452
438,13000,0.19478000000000018,211900,1e-05,2.5567381381988525,0.43,209890,-68.61,12.2,483
435,14000,0.15013759999999998,223648,1e-05,2.5934940934181214,0.5,221640,-23.1,11.78,513
433,15000,0.10699619999999999,235001,1e-05,3.101664996147156,0.46,233000,11.25,10.92,541
431,16000,0.06515820000000017,246011,1e-05,3.308146286010742,0.59,244010,38.04,11.06,570
429,17000,0.05,256691,1e-05,3.7535727262496947,0.54,254690,52.51,10.58,598
427,18000,0.05,267334,1e-05,4.506490707397461,0.54,265330,47.29,10.92,625
425,19000,0.05,278032,1e-05,4.862132167816162,0.63,276030,54.79,10.74,652
423,20000,0.05,288753,1e-05,4.976453113555908,0.68,286750,60.32,10.37,681
422,21000,0.05,299383,1e-05,5.620681190490723,0.6,297380,52.58,10.65,708
420,22000,0.05,310139,1e-05,6.169815564155579,0.58,308130,42.63,10.79,737
419,23000,0.05,320951,1e-05,6.065899801254273,0.61,318950,49.11,10.76,765
417,24000,0.05,331750,1e-05,6.312489938735962,0.49,329740,49.31,11.09,793
416,25000,0.05,342506,1e-05,6.415447235107422,0.56,340500,45.07,10.87,821
415,26000,0.05,353151,1e-05,6.618355131149292,0.52,351150,42.34,11.06,849
414,27000,0.05,363924,1e-05,7.262559938430786,0.59,361920,45.7,10.93,877
413,28000,0.05,374667,1e-05,7.00023398399353,0.54,372660,41.24,10.87,905
413,29000,0.05,385348,1e-05,7.389685773849488,0.58,383340,57.11,10.23,932
412,30000,0.05,396104,1e-05,6.347201156616211,0.62,394100,46.57,10.84,959
411,31000,0.05,406890,1e-05,7.14227705001831,0.57,404880,44.12,10.62,988
411,32000,0.05,417555,1e-05,7.32998309135437,0.53,415550,41.32,10.68,1015
410,33000,0.05,428143,1e-05,7.193586778640747,0.57,426140,56.9,10.32,1043
409,34000,0.05,438800,1e-05,6.822303628921508,0.48,436790,34.78,10.6,1071
408,35000,0.05,449501,1e-05,6.694938325881958,0.61,447500,39.75,10.4,1100
408,36000,0.05,460260,1e-05,6.770888471603394,0.54,458250,44.38,10.63,1128
407,37000,0.05,470830,1e-05,6.814735555648804,0.59,468820,43.11,10.66,1154
407,38000,0.05,481506,1e-05,7.246144819259643,0.55,479500,39.79,10.74,1181
406,39000,0.05,492160,1e-05,7.093597364425659,0.54,490150,40.91,10.53,1209
