      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1
     21,     18,     23,     12,     21,     18,     15,     10,     24,     21,     25,     30,     31,     18,     19,     24,     11,      9,      8,      8,      8,      6,     12,      8,      8,     10,      7,     10,      6,      7,     10,      1,    101,     86,    111,     56,    101,     86,     71,     46,    116,    101,    121,    146,    151,     86,     91,    116,     51,     41,     36,     36,     36,     26,     56,     36,     36,     46,     31,     46,     26,     31,     46,      1
     53,     53,     49,     28,     60,     45,     40,     24,     67,     50,     46,     70,     54,     47,     52,     48,     31,     23,     12,     14,     19,     18,     18,     19,     13,     15,     19,     14,      6,     15,     20,      7,    261,    261,    241,    136,    296,    221,    196,    116,    331,    246,    226,    346,    266,    231,    256,    236,    151,    111,     56,     66,     91,     86,     86,     91,     61,     71,     91,     66,     26,     71,     96,     31
    122,    100,    100,     45,    130,    122,    102,     45,    151,    116,     81,    181,    146,    123,    105,     73,     59,     50,     42,     48,     27,     24,     33,     26,     24,     28,     32,     28,     10,     25,     23,     18,    606,    496,    496,    221,    646,    606,    506,    221,    751,    576,    401,    901,    726,    611,    521,    361,    291,    246,    206,    236,    131,    116,    161,    126,    116,    136,    156,    136,     46,    121,    111,     86
    241,    240,    201,     72,    257,    202,    199,     68,    316,    210,    112,    381,    319,    250,    198,    157,     80,     97,     67,     78,     38,     43,     31,     36,     38,     47,     32,     26,     22,     31,     30,     68,   1201,   1196,   1001,    356,   1281,   1006,    991,    336,   1576,   1046,    556,   1901,   1591,   1246,    986,    781,    396,    481,    331,    386,    186,    211,    151,    176,    186,    231,    156,    126,    106,    151,    146,    336
    662,    597,    454,    185,    688,    611,    443,    153,    662,    397,    243,   1050,    738,    609,    453,    373,    166,    242,    168,    196,     84,     88,     82,     72,     92,     80,     83,     63,     35,     48,     51,    287,   3306,   2981,   2266,    921,   3436,   3051,   2211,    761,   3306,   1981,   1211,   5246,   3686,   3041,   2261,   1861,    826,   1206,    836,    976,    416,    436,    406,    356,    456,    396,    411,    311,    171,    236,    251,   1431
