time/fps,time/episodes,rollout/exploration_rate,time/total_timesteps,train/learning_rate,train/loss,rollout/success_rate,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed
525,1000,0.9065656,24588,1e-05,40.28823127746582,0.17,22580,-1120.12,22.5,46
499,2000,0.8166576,48248,1e-05,50.74638366699219,0.21,46240,-1136.67,22.73,96
486,3000,0.7382788,68874,1e-05,87.94655227661133,0.15,66870,-807.44,19.58,141
476,4000,0.6697078000000001,86919,1e-05,93.38945083618164,0.11,84910,-471.93,16.18,182
470,5000,0.6094093999999999,102787,1e-05,75.8610237121582,0.17,100780,-353.14,14.85,218
465,6000,0.5528578,117669,1e-05,37.312056350708005,0.13,115660,-321.63,14.66,252
461,7000,0.4982556,132038,1e-05,16.95244617462158,0.13,130030,-279.29,14.09,285
457,8000,0.4421980000000001,146790,1e-05,11.742720985412598,0.26,144780,-304.21,14.92,321
453,9000,0.38806699999999983,161035,1e-05,8.188284540176392,0.16,159030,-242.86,14.09,355
449,10000,0.3358588000000001,174774,1e-05,5.532902479171753,0.14,172770,-234.07,13.95,388
446,11000,0.2856266000000002,187993,1e-05,4.229890012741089,0.22,185990,-132.68,12.94,420
443,12000,0.23739319999999997,200686,1e-05,3.4814409017562866,0.31,198680,-92.99,12.4,452
439,13000,0.19064939999999986,212987,1e-05,2.39965615272522,0.33,210980,-59.18,12.5,484
436,14000,0.14520900000000003,224945,1e-05,2.7671740293502807,0.34,222940,-42.95,11.73,515
433,15000,0.10086680000000003,236614,1e-05,3.003376269340515,0.42,234610,-12.89,11.46,545
431,16000,0.05817380000000005,247849,1e-05,3.306852650642395,0.51,245840,41.8,11.16,574
428,17000,0.05,258858,1e-05,4.259702730178833,0.56,256850,36.59,11.02,603
426,18000,0.05,269813,1e-05,4.36943564414978,0.58,267810,51.8,10.73,631
425,19000,0.05,280701,1e-05,4.7975860118865965,0.6,278700,52.5,10.69,660
423,20000,0.05,291643,1e-05,5.239223384857178,0.61,289640,46.2,10.97,688
421,21000,0.05,302475,1e-05,5.9753406047821045,0.61,300470,42.72,10.78,717
420,22000,0.05,313338,1e-05,5.857766819000244,0.63,311330,48.6,10.78,744
419,23000,0.05,324258,1e-05,6.538910961151123,0.56,322250,44.73,10.87,773
417,24000,0.05,335105,1e-05,7.013463068008423,0.56,333100,41.14,10.96,801
416,25000,0.05,345908,1e-05,7.127575159072876,0.59,343900,52.83,10.73,830
415,26000,0.05,356664,1e-05,7.153152656555176,0.61,354660,49.06,10.63,858
414,27000,0.05,367527,1e-05,7.403928422927857,0.53,365520,42.49,10.72,886
413,28000,0.05,378347,1e-05,7.246582078933716,0.55,376340,48.72,10.61,914
412,29000,0.05,389013,1e-05,7.650612306594849,0.57,387010,44.4,10.82,942
411,30000,0.05,399769,1e-05,7.433747911453247,0.6,397760,41.02,10.75,970
411,31000,0.05,410406,1e-05,7.346093988418579,0.72,408400,56.78,10.8,998
410,32000,0.05,421089,1e-05,7.189493608474732,0.58,419080,49.3,10.85,1025
410,33000,0.05,431781,1e-05,7.67193489074707,0.49,429780,33.69,10.87,1052
409,34000,0.05,442523,1e-05,7.357812786102295,0.51,440520,40.4,10.75,1081
408,35000,0.05,453272,1e-05,7.347927045822144,0.7,451270,62.4,10.73,1109
408,36000,0.05,463920,1e-05,8.132296085357666,0.62,461910,46.63,10.7,1136
407,37000,0.05,474718,1e-05,8.043361568450928,0.61,472710,55.93,10.64,1164
407,38000,0.05,485361,1e-05,7.551469182968139,0.59,483360,55.0,10.85,1192
406,39000,0.05,496113,1e-05,7.872729110717773,0.58,494110,46.77,10.87,1220
