train/n_updates,time/episodes,time/fps,train/loss,time/time_elapsed,time/total_timesteps,train/learning_rate,rollout/success_rate,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean
21780,1000,462,153.95583801269532,51,23786,0.0001,0.29,0.8493553333333335,21.93,-1064.81
41310,2000,451,70.68085098266602,96,43320,0.0001,0.19,0.7256399999999998,18.8,-703.44
59400,3000,439,62.87285270690918,139,61406,0.0001,0.22,0.6110953333333333,17.8,-636.47
75620,4000,430,47.60210037231445,180,77623,0.0001,0.23,0.5083876666666667,15.82,-435.44
90750,5000,424,18.719165515899657,218,92754,0.0001,0.16,0.412558,15.2,-355.81
104640,6000,420,12.203157806396485,253,106641,0.0001,0.17,0.3246070000000001,12.68,-151.8
117510,7000,414,6.843704271316528,288,119515,0.0001,0.33,0.2430716666666668,12.72,-102.99
129820,8000,410,6.297846126556396,321,131830,0.0001,0.38,0.16507666666666665,11.65,-40.13
141440,9000,405,6.28518123626709,353,143448,0.0001,0.44,0.0914959999999998,11.4,-0.72
152450,10000,401,6.395150947570801,384,154453,0.0001,0.45,0.05,10.59,36.18
163360,11000,398,7.751752614974976,414,165367,0.0001,0.51,0.05,11.16,40.18
174210,12000,395,8.090069341659547,445,176217,0.0001,0.56,0.05,10.71,42.45
184990,13000,393,8.650330018997192,475,186996,0.0001,0.52,0.05,10.84,37.31
195770,14000,390,8.879807472229004,506,197773,0.0001,0.5,0.05,10.47,40.06
206520,15000,388,9.381079149246215,536,208521,0.0001,0.53,0.05,11.23,34.69
217240,16000,386,10.456813716888428,566,219244,0.0001,0.48,0.05,10.35,45.32
228010,17000,385,10.126627922058105,596,230018,0.0001,0.46,0.05,10.58,29.4
238820,18000,384,9.940886974334717,626,240822,0.0001,0.52,0.05,10.91,34.82
249440,19000,383,10.952771282196045,656,251441,0.0001,0.48,0.05,10.94,35.89
260060,20000,381,11.113278484344482,686,262068,0.0001,0.59,0.05,10.4,48.79
270780,21000,381,10.547218418121338,715,272783,0.0001,0.59,0.05,10.88,48.16
281390,22000,380,10.634867095947266,744,283395,0.0001,0.56,0.05,10.58,40.47
291890,23000,379,10.740441989898681,774,293898,0.0001,0.56,0.05,10.73,38.84
302540,24000,378,10.306892585754394,804,304547,0.0001,0.6,0.05,10.36,52.44
313020,25000,377,11.313684558868408,833,315030,0.0001,0.52,0.05,10.35,38.54
323740,26000,377,10.856361961364746,864,325749,0.0001,0.52,0.05,10.47,50.75
334410,27000,376,10.599036026000977,893,336414,0.0001,0.48,0.05,11.04,26.27
344980,28000,376,11.161861324310303,922,346981,0.0001,0.51,0.05,10.68,35.23
355450,29000,375,10.828306865692138,952,357459,0.0001,0.48,0.05,10.56,38.54
366050,30000,374,10.858463573455811,982,368053,0.0001,0.63,0.05,10.48,55.39
376610,31000,374,10.327335834503174,1011,378612,0.0001,0.57,0.05,10.78,39.19
387280,32000,373,10.707695388793946,1041,389284,0.0001,0.58,0.05,10.67,44.62
397900,33000,373,10.995430660247802,1071,399901,0.0001,0.56,0.05,10.9,42.84
408570,34000,372,11.080543708801269,1100,410576,0.0001,0.46,0.05,10.85,23.1
419220,35000,372,10.167864513397216,1130,421228,0.0001,0.54,0.05,10.81,39.57
429780,36000,372,10.792794609069825,1160,431784,0.0001,0.5,0.05,10.3,31.5
440470,37000,371,10.703211879730224,1190,442477,0.0001,0.51,0.05,10.8,30.48
451170,38000,371,10.465108299255371,1220,453173,0.0001,0.48,0.05,10.79,33.54
461860,39000,370,9.670191192626953,1250,463864,0.0001,0.59,0.05,10.9,46.68
472450,40000,370,9.965487337112426,1280,474456,0.0001,0.52,0.05,10.61,42.46
483140,41000,369,11.108296012878418,1311,485149,0.0001,0.53,0.05,10.93,40.33
493830,42000,369,10.512596893310548,1341,495832,0.0001,0.56,0.05,10.89,36.14
