time/fps,time/episodes,rollout/exploration_rate,time/total_timesteps,train/learning_rate,train/loss,rollout/success_rate,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed
518,1000,0.9056498000000001,24829,1e-05,38.43610382080078,0.12,22820,-1197.89,23.57,47
482,2000,0.8227528,46644,1e-05,31.263307571411133,0.11,44640,-1007.17,21.69,96
467,3000,0.7491885999999999,66003,1e-05,16.786824417114257,0.16,64000,-709.03,18.76,141
459,4000,0.6822630000000001,83615,1e-05,7.079490756988525,0.2,81610,-558.38,17.29,182
453,5000,0.617891,100555,1e-05,2.9363157510757447,0.15,98550,-453.81,16.05,221
447,6000,0.5578510000000001,116355,1e-05,1.4093929082155228,0.36,114350,-366.98,15.05,259
443,7000,0.5008927999999999,131344,1e-05,2.169732689857483,0.43,129340,-301.76,14.54,296
438,8000,0.4465110000000001,145655,1e-05,2.1872899770736693,0.5,143650,-267.39,14.12,332
434,9000,0.3943635999999999,159378,1e-05,2.9752307772636413,0.56,157370,-212.29,13.48,366
431,10000,0.3448192,172416,1e-05,3.1723429918289185,0.51,170410,-161.49,12.72,399
428,11000,0.29624760000000017,185198,1e-05,3.170747232437134,0.46,183190,-149.2,12.78,432
426,12000,0.25043859999999996,197253,1e-05,3.6586278676986694,0.49,195250,-83.27,11.86,462
423,13000,0.2048158000000001,209259,1e-05,4.173518395423889,0.48,207250,-62.04,12.3,493
421,14000,0.16067500000000012,220875,1e-05,4.246856546401977,0.53,218870,-30.6,11.64,523
418,15000,0.11738540000000008,232267,1e-05,4.900740265846252,0.52,230260,4.83,11.18,554
416,16000,0.07597680000000007,243164,1e-05,4.919873189926148,0.58,241160,40.16,10.79,583
414,17000,0.05,253870,1e-05,5.144840049743652,0.52,251860,41.38,10.51,611
413,18000,0.05,264587,1e-05,5.667130804061889,0.6,262580,43.05,10.86,640
411,19000,0.05,275256,1e-05,5.8491199016571045,0.56,273250,47.57,10.95,669
409,20000,0.05,285921,1e-05,5.9584709167480465,0.45,283920,34.54,10.52,698
408,21000,0.05,296557,1e-05,5.8580845355987545,0.56,294550,39.98,10.97,726
407,22000,0.05,307177,1e-05,5.558993864059448,0.57,305170,46.49,10.51,754
405,23000,0.05,317845,1e-05,5.617396879196167,0.57,315840,43.7,10.51,783
404,24000,0.05,328449,1e-05,5.812189197540283,0.61,326440,46.74,10.46,812
403,25000,0.05,339109,1e-05,5.6479432582855225,0.59,337100,51.65,10.58,840
402,26000,0.05,349804,1e-05,5.826291131973266,0.46,347800,28.77,10.86,870
400,27000,0.05,360439,1e-05,6.000991153717041,0.57,358430,36.51,10.56,899
399,28000,0.05,371083,1e-05,6.152361583709717,0.61,369080,43.93,10.33,928
398,29000,0.05,381746,1e-05,5.900323295593262,0.59,379740,43.91,11.08,957
397,30000,0.05,392305,1e-05,6.016549348831177,0.58,390300,50.12,10.35,985
397,31000,0.05,403030,1e-05,5.965130233764649,0.53,401020,38.52,10.6,1014
396,32000,0.05,413680,1e-05,6.002511215209961,0.51,411670,36.6,10.72,1044
395,33000,0.05,424400,1e-05,5.577787399291992,0.54,422390,33.51,11.09,1073
394,34000,0.05,435177,1e-05,5.540655422210693,0.57,433170,41.18,10.93,1101
394,35000,0.05,445938,1e-05,5.626240921020508,0.55,443930,42.84,10.92,1131
393,36000,0.05,456772,1e-05,5.916799736022949,0.52,454770,34.11,10.71,1160
393,37000,0.05,467471,1e-05,5.931611013412476,0.56,465470,42.27,10.35,1188
392,38000,0.05,478146,1e-05,5.725973653793335,0.49,476140,36.01,10.68,1218
392,39000,0.05,488654,1e-05,5.748851156234741,0.59,486650,56.08,10.31,1246
391,40000,0.05,499342,1e-05,5.661906337738037,0.48,497340,33.61,10.87,1275
