time/fps,time/episodes,rollout/exploration_rate,time/total_timesteps,train/learning_rate,train/loss,rollout/success_rate,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed
520,1000,0.9056308,24834,1e-05,39.1607162475586,0.19,22830,-1270.34,24.26,47
486,2000,0.8170414,48147,1e-05,46.52976837158203,0.18,46140,-1214.62,23.81,98
478,3000,0.7403764,68322,1e-05,52.66098556518555,0.13,66320,-648.11,18.0,142
470,4000,0.6764604000000001,85142,1e-05,50.78644142150879,0.2,83140,-465.7,16.07,180
466,5000,0.6163368,100964,1e-05,36.96327571868896,0.14,98960,-372.53,15.34,216
462,6000,0.5590138,116049,1e-05,23.820477104187013,0.16,114040,-367.85,15.03,251
459,7000,0.5036136000000002,130628,1e-05,14.912304496765136,0.19,128620,-326.77,14.37,284
454,8000,0.4495928000000001,144844,1e-05,8.63577585220337,0.26,142840,-264.72,14.0,318
449,9000,0.39702360000000003,158678,1e-05,5.6198078155517575,0.36,156670,-248.49,14.3,352
446,10000,0.3453398000000002,172279,1e-05,4.190813398361206,0.3,170270,-209.54,13.56,385
443,11000,0.29528240000000006,185452,1e-05,3.0543718338012695,0.43,183450,-161.21,13.12,417
442,12000,0.24782800000000005,197940,1e-05,2.9292033910751343,0.54,195930,-84.4,12.08,447
438,13000,0.20199620000000007,210001,1e-05,3.0157352566719053,0.42,208000,-73.56,11.84,478
436,14000,0.15777560000000002,221638,1e-05,3.8099318504333497,0.45,219630,-43.75,11.31,507
433,15000,0.11503319999999995,232886,1e-05,4.54102144241333,0.56,230880,10.12,11.05,537
431,16000,0.07329019999999997,243871,1e-05,3.9575191497802735,0.59,241870,39.31,10.69,565
429,17000,0.05,254616,1e-05,5.082879519462585,0.51,252610,35.57,11.05,593
426,18000,0.05,265300,1e-05,4.870973348617554,0.56,263290,39.62,10.77,621
425,19000,0.05,275878,1e-05,5.817494630813599,0.61,273870,53.95,10.46,649
423,20000,0.05,286608,1e-05,5.406980848312378,0.57,284600,47.09,10.64,677
421,21000,0.05,297107,1e-05,5.986688947677612,0.59,295100,48.65,10.11,704
419,22000,0.05,307763,1e-05,6.763471937179565,0.63,305760,47.36,10.73,732
418,23000,0.05,318453,1e-05,6.724966526031494,0.59,316450,50.5,10.63,760
417,24000,0.05,329129,1e-05,7.086115455627441,0.57,327120,40.11,10.7,788
416,25000,0.05,339698,1e-05,6.656907796859741,0.5,337690,35.26,10.66,815
415,26000,0.05,350298,1e-05,6.895605850219726,0.61,348290,54.77,10.28,843
414,27000,0.05,360941,1e-05,6.950714159011841,0.57,358940,44.0,10.85,871
413,28000,0.05,371590,1e-05,7.26833291053772,0.61,369580,47.52,10.84,899
412,29000,0.05,382258,1e-05,6.843074989318848,0.65,380250,49.03,10.85,927
411,30000,0.05,392991,1e-05,6.639385843276978,0.61,390990,55.25,10.44,955
410,31000,0.05,403598,1e-05,6.904899644851684,0.59,401590,46.87,10.57,983
409,32000,0.05,414296,1e-05,7.14335412979126,0.59,412290,51.86,10.48,1010
409,33000,0.05,424927,1e-05,6.580645608901977,0.59,422920,55.71,10.81,1038
408,34000,0.05,435587,1e-05,7.043659257888794,0.53,433580,42.24,10.75,1065
408,35000,0.05,446291,1e-05,6.907000017166138,0.56,444290,45.89,10.6,1092
407,36000,0.05,456875,1e-05,7.012427520751953,0.54,454870,39.53,10.95,1120
407,37000,0.05,467621,1e-05,6.87440242767334,0.61,465620,50.0,10.49,1147
406,38000,0.05,478148,1e-05,6.714800405502319,0.57,476140,46.18,10.68,1175
406,39000,0.05,488628,1e-05,7.008961582183838,0.58,486620,50.48,10.75,1202
405,40000,0.05,499104,1e-05,7.034786224365234,0.59,497100,43.76,10.33,1231
