time/episodes,time/fps,rollout/ep_len_mean,train/loss,time/time_elapsed,rollout/ep_rew_mean,rollout/success_rate,train/learning_rate,time/total_timesteps,train/n_updates,rollout/exploration_rate
1000,470,22.35,1.2516106367111206,49,-1078.14,0.21,0.0003,23303,21302,0.8887463999999999
2000,448,20.55,1.5326799154281616,98,-858.99,0.27,0.0003,44324,42323,0.8334911999999999
3000,440,18.73,2.7224538326263428,145,-746.24,0.29,0.0003,63839,61838,0.7821946285714285
4000,435,17.76,1.8709311485290527,189,-638.15,0.34,0.0003,82709,80708,0.7325934857142856
5000,430,17.09,2.858311414718628,233,-588.73,0.4,0.0003,100530,98529,0.6857497142857143
6000,428,16.49,2.9963927268981934,273,-511.53,0.36,0.0003,117384,115383,0.6414477714285713
7000,424,15.74,2.5543134212493896,313,-424.06,0.39,0.0003,133345,131344,0.5994931428571428
8000,421,15.24,3.1488466262817383,353,-378.25,0.38,0.0003,148810,146809,0.5588422857142857
9000,418,14.37,3.3217196464538574,391,-308.63,0.35,0.0003,163780,161779,0.5194925714285713
10000,417,14.49,2.9268798828125,427,-304.54,0.41,0.0003,178221,176220,0.4815333714285715
11000,415,13.55,2.3157291412353516,462,-235.97,0.53,0.0003,192352,190351,0.4443890285714286
12000,413,13.48,2.6395201683044434,498,-229.97,0.36,0.0003,205910,203909,0.40875085714285697
13000,410,13.57,3.926680564880371,533,-208.25,0.47,0.0003,219373,217372,0.37336239999999987
14000,408,13.01,3.361042022705078,569,-178.32,0.45,0.0003,232443,230442,0.3390069714285714
15000,406,12.6,4.163571834564209,603,-141.23,0.42,0.0003,245239,243238,0.3053717714285714
16000,404,12.52,3.522426128387451,636,-126.91,0.45,0.0003,257611,255610,0.27285108571428573
17000,402,11.66,4.594063758850098,669,-68.19,0.43,0.0003,269771,267770,0.2408876571428572
18000,401,11.69,4.262265205383301,702,-40.06,0.56,0.0003,281716,279715,0.20948937142857138
19000,399,11.64,4.9975504875183105,734,-28.73,0.54,0.0003,293446,291445,0.1786562285714285
20000,397,11.55,4.412810325622559,767,-31.78,0.48,0.0003,305023,303022,0.14822525714285706
21000,396,11.23,6.056878566741943,798,-15.4,0.51,0.0003,316390,314389,0.11834628571428574
22000,394,10.8,4.952621936798096,829,21.39,0.5,0.0003,327491,325490,0.08916651428571443
23000,393,11.11,4.711234092712402,859,26.47,0.48,0.0003,338453,336452,0.0603521142857143
24000,392,10.21,5.500268936157227,890,45.21,0.52,0.0003,349212,347211,0.03207131428571419
25000,390,10.49,5.895468235015869,921,42.61,0.5,0.0003,359853,357852,0.03
26000,389,10.86,5.745253562927246,951,48.06,0.47,0.0003,370512,368511,0.03
27000,387,10.56,5.497378349304199,982,40.92,0.42,0.0003,381116,379115,0.03
28000,386,11.06,5.65669584274292,1013,47.96,0.55,0.0003,391887,389886,0.03
29000,386,10.24,5.662351608276367,1042,55.23,0.48,0.0003,402534,400533,0.03
30000,384,10.79,4.917152404785156,1073,50.58,0.52,0.0003,413208,411207,0.03
31000,384,10.68,6.051682949066162,1103,67.28,0.62,0.0003,423904,421903,0.03
32000,383,10.89,5.5056610107421875,1133,41.35,0.45,0.0003,434610,432609,0.03
33000,382,10.71,6.4573798179626465,1164,57.76,0.6,0.0003,445245,443244,0.03
34000,381,10.25,4.527551651000977,1195,64.72,0.64,0.0003,455912,453911,0.03
35000,380,10.62,5.081321716308594,1225,51.59,0.55,0.0003,466501,464500,0.03
36000,379,10.56,5.58981466293335,1256,50.78,0.48,0.0003,477158,475157,0.03
37000,378,10.29,5.543059349060059,1287,56.73,0.55,0.0003,487759,485758,0.03
38000,378,10.42,5.959926605224609,1318,60.61,0.56,0.0003,498482,496481,0.03
