train/loss,train/n_updates,rollout/ep_len_mean,time/time_elapsed,rollout/success_rate,train/learning_rate,rollout/ep_rew_mean,time/fps,time/episodes,time/total_timesteps,rollout/exploration_rate
49.627350616455075,23640,24.42,49,0.18,1e-05,-1290.32,518,1000,25647,0.9025414
62.39716110229492,44430,18.46,93,0.19,1e-05,-715.05,495,2000,46440,0.823528
9.290127182006836,62830,18.5,133,0.28,1e-05,-691.79,484,3000,64837,0.7536193999999998
1.9475824952125549,80600,16.83,174,0.3,1e-05,-549.77,474,4000,82601,0.6861162000000001
1.9725456953048706,97630,16.27,212,0.42,1e-05,-486.37,468,5000,99631,0.6214021999999999
2.0525410890579225,113330,14.87,248,0.42,1e-05,-382.59,463,6000,115339,0.5617118000000001
2.6095024824142454,128110,14.35,283,0.32,1e-05,-332.09,458,7000,130116,0.5055592
2.88481981754303,142440,13.7,316,0.43,1e-05,-253.36,456,8000,144445,0.4511090000000001
3.6393944025039673,156130,13.72,349,0.43,1e-05,-236.38,452,9000,158140,0.399068
3.7811246156692504,169380,12.76,381,0.47,1e-05,-140.96,448,10000,171390,0.3487180000000001
4.215204167366028,182270,12.74,412,0.49,1e-05,-122.88,446,11000,184277,0.2997473999999999
4.688723134994507,194530,11.82,443,0.42,1e-05,-79.16,442,12000,196533,0.2531746
5.64096417427063,206370,11.62,474,0.59,1e-05,-47.5,439,13000,208373,0.20818259999999988
6.528614044189453,217970,11.53,504,0.55,1e-05,-14.02,436,14000,219978,0.1640836
6.287918472290039,229370,11.58,533,0.64,1e-05,-2.58,433,15000,231377,0.12076740000000008
6.798592233657837,240280,10.57,562,0.5,1e-05,15.55,430,16000,242287,0.07930939999999997
7.233314943313599,251040,10.78,590,0.64,1e-05,52.07,428,17000,253048,0.05
6.934222078323364,261670,10.28,618,0.62,1e-05,50.68,426,18000,263678,0.05
7.266566514968872,272330,10.65,646,0.59,1e-05,46.26,424,19000,274336,0.05
7.356153964996338,282960,10.56,674,0.59,1e-05,48.27,422,20000,284964,0.05
7.9109128475189205,293680,10.71,702,0.6,1e-05,47.88,420,21000,295688,0.05
8.051851892471314,304180,10.73,729,0.6,1e-05,54.99,419,22000,306183,0.05
8.218920946121216,314860,10.61,757,0.55,1e-05,42.75,418,23000,316866,0.05
8.159013271331787,325470,10.51,785,0.57,1e-05,51.95,417,24000,327471,0.05
8.442475175857544,336000,10.35,811,0.62,1e-05,49.76,416,25000,338006,0.05
8.134778594970703,346620,10.96,839,0.6,1e-05,49.03,415,26000,348621,0.05
8.69999623298645,357280,10.65,868,0.61,1e-05,43.74,413,27000,359282,0.05
8.534382104873657,367850,10.32,895,0.61,1e-05,57.89,413,28000,369856,0.05
8.774188613891601,378430,10.79,922,0.66,1e-05,49.16,412,29000,380436,0.05
8.633052539825439,389020,10.61,951,0.58,1e-05,43.54,411,30000,391027,0.05
8.354947996139526,399600,10.73,979,0.55,1e-05,38.77,410,31000,401602,0.05
8.465247774124146,410180,10.63,1007,0.51,1e-05,44.95,409,32000,412187,0.05
8.6884295463562,420750,10.71,1035,0.61,1e-05,49.5,408,33000,422752,0.05
8.766776275634765,431320,10.55,1063,0.62,1e-05,45.45,407,34000,433330,0.05
8.625742292404174,441940,10.74,1091,0.56,1e-05,38.42,406,35000,443944,0.05
8.83375072479248,452520,10.77,1120,0.61,1e-05,40.36,405,36000,454525,0.05
8.764400339126587,463040,10.74,1147,0.66,1e-05,50.5,405,37000,465042,0.05
9.076900720596313,473660,10.64,1175,0.62,1e-05,48.89,404,38000,475668,0.05
8.862540149688721,484220,10.93,1203,0.53,1e-05,35.4,403,39000,486230,0.05
8.707944297790528,494860,10.51,1231,0.55,1e-05,47.97,403,40000,496862,0.05
