Bot - 1,23,0.23,11.81
Bot - 3,24,0.24,13.35
Bot - MCTS,20,0.2,12.3
Bot - 5,14,0.14,10.51
Bot - 2,8,0.08,9.57
Bot - 4,11,0.11,10.45
