Bot - 2,18,0.18,11.45
Bot - 3,18,0.18,10.85
Bot - 4,9,0.09,9.93
Bot - 5,17,0.17,11.43
Bot - 1,18,0.18,11.42
Bot - MCTS,20,0.2,11.93
