Bot - 1,15,0.15,11.42
Bot - 5,8,0.08,9.74
Bot - 2,23,0.23,12.13
Bot - 3,17,0.17,10.86
Bot - 4,22,0.22,12.6
Bot - MCTS,15,0.15,11.42
