Bot - 3,21,0.21,11.62
Bot - 2,14,0.14,9.99
Bot - 5,12,0.12,10.43
Bot - 4,22,0.22,11.85
Bot - MCTS,16,0.16,11.75
Bot - 1,15,0.15,10.27
