time/fps,time/episodes,rollout/exploration_rate,time/total_timesteps,train/learning_rate,train/loss,rollout/success_rate,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed
502,1000,0.9079108000000001,24234,0.001,1.2995748698711396,0.2,22230,-1225.15,23.75,48
479,2000,0.8275939999999999,45370,0.001,1.3835675716400146,0.25,43360,-920.08,20.69,94
473,3000,0.7530684000000001,64982,0.001,1.611496591567993,0.32,62980,-804.03,19.55,137
464,4000,0.684372,83060,0.001,1.5322537660598754,0.28,81050,-561.3,16.87,178
457,5000,0.6199201999999999,100021,0.001,2.338080036640167,0.32,98020,-443.98,15.58,218
453,6000,0.5596826,115873,0.001,2.5776108503341675,0.34,113870,-378.84,14.93,255
450,7000,0.5024546000000001,130933,0.001,2.719297480583191,0.32,128930,-387.82,15.38,290
446,8000,0.4479322,145281,0.001,3.098268723487854,0.38,143280,-251.21,13.89,325
441,9000,0.3958836,158978,0.001,3.612442660331726,0.44,156970,-237.32,13.78,359
439,10000,0.3450244,172362,0.001,3.9507381677627564,0.46,170360,-166.23,13.17,392
436,11000,0.29581060000000003,185313,0.001,3.818041372299194,0.36,183310,-135.94,12.91,424
433,12000,0.24883880000000003,197674,0.001,3.986928677558899,0.49,195670,-88.24,12.26,456
430,13000,0.20272960000000007,209808,0.001,3.7840200662612915,0.45,207800,-62.39,11.8,487
428,14000,0.15815559999999995,221538,0.001,3.9605640172958374,0.5,219530,-28.57,11.39,517
425,15000,0.11452019999999996,233021,0.001,4.296724319458008,0.51,231020,-10.27,11.82,547
423,16000,0.07229839999999998,244132,0.001,4.367070436477661,0.5,242130,22.42,11.04,576
421,17000,0.05,255036,0.001,4.709220695495605,0.6,253030,46.29,10.92,604
419,18000,0.05,265860,0.001,4.883190584182739,0.57,263850,33.77,11.25,633
418,19000,0.05,276791,0.001,4.975695562362671,0.4,274790,22.56,11.32,661
417,20000,0.05,287607,0.001,4.842221593856811,0.55,285600,43.35,10.64,688
416,21000,0.05,298494,0.001,5.047659778594971,0.46,296490,38.25,10.94,717
414,22000,0.05,309362,0.001,4.744162392616272,0.45,307360,33.37,11.0,746
412,23000,0.05,320259,0.001,4.415061020851136,0.48,318250,32.07,10.96,775
411,24000,0.05,331030,0.001,4.534154343605041,0.57,329020,49.47,10.56,804
410,25000,0.05,341926,0.001,4.843065953254699,0.42,339920,16.41,10.75,833
409,26000,0.05,352818,0.001,5.058644533157349,0.53,350810,53.74,10.78,862
408,27000,0.05,363646,0.001,4.974228954315185,0.48,361640,36.82,10.96,891
407,28000,0.05,374575,0.001,4.825207448005676,0.55,372570,38.84,11.03,920
406,29000,0.05,385515,0.001,4.260815238952636,0.52,383510,39.68,10.88,948
405,30000,0.05,396491,0.001,4.631964826583863,0.38,394490,23.87,10.89,977
404,31000,0.05,407366,0.001,4.9574970483779905,0.46,405360,34.22,11.23,1006
403,32000,0.05,418140,0.001,4.733604431152344,0.53,416130,39.04,10.6,1035
403,33000,0.05,429004,0.001,4.943370842933655,0.51,427000,36.56,10.62,1063
402,34000,0.05,439919,0.001,4.630357456207276,0.47,437910,29.83,11.16,1093
401,35000,0.05,450870,0.001,4.514438724517822,0.43,448860,34.02,10.96,1122
400,36000,0.05,461877,0.001,4.392921113967896,0.43,459870,38.14,10.86,1152
400,37000,0.05,472711,0.001,4.799476671218872,0.37,470710,24.11,11.01,1180
399,38000,0.05,483527,0.001,4.426004099845886,0.49,481520,38.04,10.9,1210
399,39000,0.05,494471,0.001,4.504217529296875,0.49,492470,33.26,10.99,1238
