train/loss,train/n_updates,rollout/ep_len_mean,time/time_elapsed,rollout/success_rate,train/learning_rate,rollout/ep_rew_mean,time/fps,time/episodes,time/total_timesteps,rollout/exploration_rate
48.707757568359376,23050,23.99,47,0.14,1e-05,-1269.79,523,1000,25057,0.9047834
88.75712509155274,44230,18.51,93,0.16,1e-05,-704.46,492,2000,46232,0.8243184
9.502204132080077,62350,18.05,132,0.18,1e-05,-640.12,486,3000,64354,0.7554547999999999
2.878930163383484,80700,17.34,173,0.3,1e-05,-612.52,476,4000,82706,0.6857172
1.859288227558136,97380,16.27,212,0.39,1e-05,-495.82,466,5000,99386,0.6223332000000001
2.1038153529167176,113260,15.33,249,0.42,1e-05,-374.8,461,6000,115268,0.5619816000000001
2.682960641384125,128150,14.81,283,0.47,1e-05,-327.12,458,7000,130159,0.5053958
2.946175384521484,142360,14.4,316,0.45,1e-05,-283.51,455,8000,144366,0.45140920000000007
3.6525250911712646,156020,13.2,349,0.48,1e-05,-210.34,451,9000,158025,0.3995050000000001
4.198538899421692,169240,13.21,382,0.41,1e-05,-161.27,448,10000,171246,0.34926519999999994
3.9848453998565674,182030,12.82,413,0.52,1e-05,-110.13,444,11000,184036,0.30066320000000013
4.96704204082489,194350,11.68,444,0.45,1e-05,-72.36,441,12000,196357,0.25384340000000005
5.444318056106567,206310,11.85,474,0.53,1e-05,-48.43,438,13000,208315,0.2084029999999999
6.29981484413147,217690,11.05,502,0.52,1e-05,-3.59,437,14000,219696,0.16515520000000006
6.856533193588257,228980,11.65,532,0.54,1e-05,-10.1,434,15000,230982,0.12226839999999994
7.203662014007568,239970,10.77,560,0.52,1e-05,27.94,431,16000,241978,0.08048359999999999
7.154551219940186,250650,10.59,589,0.59,1e-05,53.05,428,17000,252657,0.05
7.423562622070312,261310,10.94,617,0.6,1e-05,39.53,426,18000,263316,0.05
7.644200849533081,271980,10.81,643,0.57,1e-05,52.2,425,19000,273990,0.05
7.734232807159424,282500,10.34,671,0.61,1e-05,54.53,423,20000,284506,0.05
8.397628831863404,293070,10.67,700,0.6,1e-05,47.66,421,21000,295080,0.05
7.969202756881714,303700,10.62,728,0.66,1e-05,62.04,419,22000,305705,0.05
7.933405876159668,314190,10.28,756,0.56,1e-05,46.94,417,23000,316200,0.05
8.485365152359009,324870,10.8,785,0.51,1e-05,42.97,416,24000,326871,0.05
8.065936279296874,335370,10.63,812,0.64,1e-05,55.78,415,25000,337371,0.05
8.574575853347778,346000,10.74,840,0.6,1e-05,45.53,414,26000,348005,0.05
8.569321441650391,356600,10.76,867,0.6,1e-05,51.49,413,27000,358604,0.05
8.500985765457154,367160,10.51,895,0.58,1e-05,47.71,412,28000,369169,0.05
8.716883850097656,377820,10.75,923,0.61,1e-05,45.68,411,29000,379825,0.05
8.87863712310791,388400,10.55,951,0.55,1e-05,38.68,410,30000,390404,0.05
8.93513503074646,398960,10.68,978,0.52,1e-05,40.84,409,31000,400967,0.05
8.630337858200074,409580,10.59,1005,0.56,1e-05,49.26,409,32000,411589,0.05
8.728880023956298,420240,10.84,1033,0.55,1e-05,37.07,408,33000,422247,0.05
8.824751234054565,430850,10.55,1061,0.59,1e-05,56.45,407,34000,432851,0.05
8.747395467758178,441430,10.44,1090,0.66,1e-05,50.47,406,35000,443440,0.05
8.95528736114502,452090,10.73,1118,0.64,1e-05,51.46,406,36000,454099,0.05
8.892773723602295,462780,10.94,1146,0.54,1e-05,41.94,405,37000,464781,0.05
8.498176527023315,473380,10.82,1174,0.51,1e-05,35.18,404,38000,475383,0.05
9.155604839324951,483920,10.64,1202,0.54,1e-05,44.29,404,39000,485923,0.05
8.9268048286438,494540,10.55,1229,0.61,1e-05,64.33,403,40000,496542,0.05
