time/fps,time/episodes,rollout/exploration_rate,time/total_timesteps,train/learning_rate,train/loss,rollout/success_rate,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed
520,1000,0.9081008,24184,0.001,1.6712767958641053,0.23,22180,-1049.9,21.96,46
493,2000,0.8265756,45638,0.001,2.782053303718567,0.27,43630,-915.91,20.71,92
480,3000,0.7528594,65037,0.001,3.9362411737442016,0.27,63030,-737.75,18.81,135
472,4000,0.6838856000000001,83188,0.001,5.067175674438476,0.38,81180,-652.2,18.26,175
465,5000,0.620171,99955,0.001,5.445578718185425,0.31,97950,-507.92,16.57,214
459,6000,0.5600284,115782,0.001,5.970972681045533,0.4,113780,-407.96,15.62,251
454,7000,0.502846,130830,0.001,6.275063753128052,0.43,128820,-310.36,14.77,287
450,8000,0.44804240000000006,145252,0.001,6.959861516952515,0.42,143250,-297.5,14.36,322
446,9000,0.3948804,159242,0.001,7.419829082489014,0.38,157240,-247.39,14.12,356
442,10000,0.3441390000000001,172595,0.001,7.710760593414307,0.45,170590,-177.37,13.55,389
439,11000,0.29500879999999996,185524,0.001,7.015826320648193,0.48,183520,-114.87,12.52,421
437,12000,0.2477140000000001,197970,0.001,7.632524633407593,0.32,195960,-128.1,12.28,452
435,13000,0.20133119999999993,210176,0.001,7.717867851257324,0.44,208170,-90.44,12.56,482
432,14000,0.15643420000000008,221991,0.001,7.815672540664673,0.36,219990,-44.51,11.68,513
430,15000,0.11274559999999989,233488,0.001,7.850492715835571,0.5,231480,-3.53,11.21,542
428,16000,0.06957760000000002,244848,0.001,7.834531974792481,0.37,242840,-0.18,11.4,572
425,17000,0.05,255888,0.001,7.808691835403442,0.44,253880,32.18,11.16,600
424,18000,0.05,266985,0.001,8.390709686279298,0.43,264980,21.13,11.19,629
422,19000,0.05,277971,0.001,8.45682978630066,0.38,275970,25.65,11.0,657
420,20000,0.05,289150,0.001,7.991131162643432,0.48,287140,28.46,11.23,687
418,21000,0.05,300179,0.001,7.909310245513916,0.45,298170,31.36,11.09,716
416,22000,0.05,311190,0.001,7.994277906417847,0.39,309180,30.33,11.25,746
415,23000,0.05,322282,0.001,7.77946138381958,0.41,320280,32.8,11.13,775
414,24000,0.05,333410,0.001,7.827594804763794,0.28,331400,22.19,11.06,804
412,25000,0.05,344552,0.001,7.720273113250732,0.38,342550,21.37,11.01,834
411,26000,0.05,355678,0.001,8.127937650680542,0.41,353670,17.09,11.22,863
410,27000,0.05,366726,0.001,7.8648412227630615,0.46,364720,29.17,11.03,893
409,28000,0.05,377745,0.001,8.127466344833374,0.37,375740,25.6,10.92,922
408,29000,0.05,388798,0.001,7.956115961074829,0.41,386790,20.02,11.08,951
407,30000,0.05,399956,0.001,7.851047945022583,0.44,397950,20.82,11.14,980
406,31000,0.05,411146,0.001,7.141351127624512,0.41,409140,18.01,11.32,1010
406,32000,0.05,422378,0.001,7.748795843124389,0.38,420370,32.36,10.82,1040
405,33000,0.05,433525,0.001,7.872812938690186,0.28,431520,12.32,11.02,1069
404,34000,0.05,444539,0.001,7.484573793411255,0.35,442530,23.25,10.95,1098
404,35000,0.05,455599,0.001,7.278443479537964,0.4,453590,33.89,10.66,1127
403,36000,0.05,466697,0.001,7.398295068740845,0.38,464690,35.32,10.99,1156
402,37000,0.05,477975,0.001,7.7250207424163815,0.31,475970,21.94,11.36,1186
401,38000,0.05,489173,0.001,7.588139867782592,0.33,487170,20.25,11.03,1216
