     39,     36,     34,     22,     45,     43,     46,     37,     51,     45,     34,     53,     51,     37,     32,     51,     33,     13,     16,     10,     18,     20,     10,     12,     21,     18,     16,     19,     14,     19,     22,    191,    176,    166,    106,    221,    211,    226,    181,    251,    221,    166,    261,    251,    181,    156,    251,    161,     61,     76,     46,     86,     96,     46,     56,    101,     86,     76,     91,     66,     91,    106
     20,     19,     20,     11,     17,     24,     21,     12,     27,     23,     12,     27,     21,     15,     25,     21,      9,      7,     12,     11,      9,      8,      9,     11,      9,      6,      9,      7,     15,      6,      9,     96,     91,     96,     51,     81,    116,    101,     56,    131,    111,     56,    131,    101,     71,    121,    101,     41,     31,     56,     51,     41,     36,     41,     51,     41,     26,     41,     31,     71,     26,     41
      5,      6,      3,      6,      3,      6,      5,      2,      6,      5,      6,      7,      7,      5,      4,      8,      3,      3,      2,      1,      2,      2,      2,      2,      6,      3,      4,      2,      3,      1,      2,     21,     26,     11,     26,     11,     26,     21,      6,     26,     21,     26,     31,     31,     21,     16,     36,     11,     11,      6,      1,      6,      6,      6,      6,     26,     11,     16,      6,     11,      1,      6
      1,      1,      1,      1,      1,      2,      1,      1,      2,      1,      1,      1,      1,      2,      2,      1,      1,      1,      2,      1,      1,      1,      2,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      6,      1,      1,      6,      1,      1,      1,      1,      6,      6,      1,      1,      1,      6,      1,      1,      1,      6,      1,      1,      1,      1,      1,      1,      1,      1
