      3,      3,      3,      2,      5,      2,      3,      3,      4,      3,      1,      3,      3,      2,      1,      6,      5,      2,      3,      2,      2,      2,      2,      2,      1,      3,      2,      2,      1,      1,      3,     11,     11,     11,      6,     21,      6,     11,     11,     16,     11,      1,     11,     11,      6,      1,     26,     21,      6,     11,      6,      6,      6,      6,      6,      1,     11,      6,      6,      1,      1,     11
     26,     17,     28,     20,     22,     18,     23,     15,     37,     30,     25,     41,     26,     24,     23,     32,     15,     10,     12,      7,      7,     10,      8,      8,     10,      8,     10,      8,      7,     19,     12,    126,     81,    136,     96,    106,     86,    111,     71,    181,    146,    121,    201,    126,    116,    111,    156,     71,     46,     56,     31,     31,     46,     36,     36,     46,     36,     46,     36,     31,     91,     56
     21,     15,     21,     12,     18,     12,     19,     18,     29,     23,     24,     29,     21,     11,     18,     24,     17,      9,     10,      5,     10,      6,      4,     12,      8,      9,      7,     10,     12,     10,      8,    101,     71,    101,     56,     86,     56,     91,     86,    141,    111,    116,    141,    101,     51,     86,    116,     81,     41,     46,     21,     46,     26,     16,     56,     36,     41,     31,     46,     56,     46,     36
     12,     11,     12,      9,     16,     15,     11,      8,     17,     21,     10,     22,     23,     17,     11,     17,      8,      2,      6,      6,      3,      6,      3,      5,      3,      4,      7,      6,      7,      5,      7,     56,     51,     56,     41,     76,     71,     51,     36,     81,    101,     46,    106,    111,     81,     51,     81,     36,      6,     26,     26,     11,     26,     11,     21,     11,     16,     31,     26,     31,     21,     31
      6,      4,      3,      4,      5,      6,      4,      6,      4,      4,      3,      5,      4,      2,      6,      4,      2,      2,      2,      2,      2,      2,      4,      4,      3,      3,      5,      2,      3,      2,      2,     26,     16,     11,     16,     21,     26,     16,     26,     16,     16,     11,     21,     16,      6,     26,     16,      6,      6,      6,      6,      6,      6,     16,     16,     11,     11,     21,      6,     11,      6,      6
      5,      3,      5,      2,      7,      2,      4,      1,      5,      5,      3,      7,      5,      5,      4,      4,      3,      3,      1,      2,      1,      2,      2,      1,      4,      3,      1,      3,      4,      1,      1,     21,     11,     21,      6,     31,      6,     16,      1,     21,     21,     11,     31,     21,     21,     16,     16,     11,     11,      1,      6,      1,      6,      6,      1,     16,     11,      1,     11,     16,      1,      1
      1,      1,      2,      1,      2,      1,      1,      1,      1,      1,      2,      1,      1,      1,      1,      2,      2,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      6,      1,      6,      1,      1,      1,      1,      1,      6,      1,      1,      1,      1,      6,      6,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1
