   45,   56,   37,   32,   52,   53,   31,   23,   70,   59,   33,   71,   59,   48,   35,   42,   20,   11,   20,   17,   18,   13,   16,   15,   14,   13,   22,    8,   13,   21,   17,  261,  281,  234,  208,  276,  263,  232,  149,  398,  335,  220,  415,  310,  240,  216,  233,  153,   70,  104,  104,  102,   82,   89,   88,   79,   69,  109,   69,   80,  115,   87
   31,   32,   26,   21,   34,   31,   37,   22,   36,   37,   29,   79,   36,   34,   40,   46,   16,   17,   13,    9,    9,   14,    5,    7,   17,   14,    9,    9,   17,    5,    8,  141,  137,  129,   96,  149,  139,  144,   91,  189,  176,  142,  283,  164,  141,  159,  170,   69,   57,   48,   47,   44,   51,   30,   45,   61,   50,   37,   34,   46,   42,   45
   17,   10,   12,    7,   12,    2,    8,    6,   17,   16,   10,   17,   17,    8,   11,    5,    5,    2,    5,    5,    1,    3,    3,    2,    1,    4,    3,    2,    2,    5,    2,   42,   28,   35,   21,   35,   18,   31,   25,   57,   55,   32,   52,   52,   28,   43,   29,   20,   10,   14,   12,   10,   14,   10,   10,   10,   11,   12,   10,    8,   12,    9
    3,    1,    2,    1,    3,    1,    1,    1,    1,    3,    1,    3,    3,    3,    1,    1,    1,    1,    1,    1,    1,    1,    1,    1,    2,    1,    2,    1,    1,    2,    1,    8,    2,    4,    1,    6,    3,    3,    3,    3,    6,    6,    6,    5,    4,    3,    2,    2,    3,    1,    2,    2,    2,    1,    3,    4,    1,    3,    2,    2,    3,    1
