    5,    7,    6,    8,    8,    7,    2,    2,    5,   11,    3,   13,    5,    5,    4,   10,    2,    2,    4,    3,    2,    2,    3,    6,    4,    1,    1,    2,    3,    3,    4,   22,   15,   17,   17,   28,   19,   17,   11,   24,   26,   15,   36,   19,   16,   20,   25,    9,    5,    8,   10,    7,    5,    8,   11,    4,    5,    7,    7,    3,    8,   12
   13,    9,    7,   10,    7,    8,    6,    8,    8,   11,    5,   13,    9,   13,    3,   15,   11,    6,    1,    2,    3,    3,    2,    3,    1,    3,    4,    4,    3,    1,    2,   35,   20,   26,   24,   31,   22,   25,   18,   39,   35,   19,   40,   30,   30,   18,   36,   27,   12,    8,   12,   14,   13,    8,    9,    7,    6,   13,    8,    7,    6,   12
   18,   25,   11,    9,   15,   17,   18,    5,   17,   21,   13,   20,   16,   13,    8,   13,   13,    3,    7,    5,    7,    6,    4,   10,    6,    6,    6,    3,    6,    7,    7,   54,   59,   46,   34,   55,   52,   70,   32,   69,   67,   53,   86,   57,   53,   41,   49,   43,   19,   17,   24,   21,   15,   12,   22,   23,   17,   17,   10,   18,   21,   26
   19,   33,   15,   24,   27,   10,   12,    9,   29,   22,   16,   34,   34,   31,   13,   23,   16,    8,    9,   11,    5,    5,   10,    1,    6,    5,    5,    5,   11,   10,   11,   81,  103,   70,   61,   81,   72,   60,   47,  132,   92,   79,  136,  125,   99,   65,   90,   64,   30,   30,   37,   28,   27,   32,   17,   27,   25,   22,   26,   34,   40,   39
   25,   37,   20,   26,   37,   29,   31,   21,   52,   38,   21,   43,   38,   22,   23,   33,   24,   21,    7,   11,    5,    7,   11,    3,   10,   10,    9,    9,   11,   12,    5,  118,  142,  109,   96,  132,  119,  124,   83,  214,  159,  101,  187,  157,  127,  110,  135,   96,   59,   29,   44,   35,   40,   40,   31,   45,   47,   37,   46,   38,   54,   28
   50,   45,   35,   22,   53,   29,   42,   29,   59,   38,   30,   84,   62,   36,   41,   39,   39,    6,   13,   12,   11,    7,   26,   13,   12,   17,   19,   12,   29,   12,   23,  222,  212,  172,  117,  244,  161,  205,  149,  294,  216,  164,  356,  267,  191,  198,  191,  162,   47,   79,   61,   58,   56,   85,   71,   61,   76,   82,   63,   81,   57,   99
