time/fps,time/episodes,rollout/exploration_rate,time/total_timesteps,train/learning_rate,train/loss,rollout/success_rate,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed
527,1000,0.9090355999999999,23938,0.001,1.2466923952102662,0.22,21930,-1084.36,22.03,45
494,2000,0.8282856,45188,0.001,1.886045503616333,0.27,43180,-887.14,20.3,91
480,3000,0.7545428000000001,64594,0.001,1.7444838166236878,0.36,62590,-638.03,18.08,134
470,4000,0.6859223999999999,82652,0.001,2.127553343772888,0.35,80650,-657.87,18.28,175
464,5000,0.6225384,99332,0.001,3.3111645936965943,0.33,97330,-500.06,16.43,213
459,6000,0.5622476,115198,0.001,4.652048635482788,0.36,113190,-427.9,15.79,250
455,7000,0.5060418,129989,0.001,5.556724929809571,0.38,127980,-329.49,14.69,285
450,8000,0.451318,144390,0.001,6.327837514877319,0.41,142380,-246.18,13.44,320
447,9000,0.3990413999999999,158147,0.001,7.0334296226501465,0.43,156140,-208.49,13.33,353
443,10000,0.34811380000000003,171549,0.001,7.57813663482666,0.48,169540,-194.27,13.47,386
440,11000,0.2999716,184218,0.001,7.367602968215943,0.42,182210,-120.06,12.53,418
437,12000,0.2529313999999999,196597,0.001,7.919590187072754,0.5,194590,-86.33,12.28,449
434,13000,0.20712240000000004,208652,0.001,8.537600040435791,0.43,206650,-104.91,12.52,480
431,14000,0.16220640000000008,220472,0.001,8.410621833801269,0.52,218470,-47.25,12.2,510
429,15000,0.11846080000000014,231984,0.001,9.820967674255371,0.52,229980,2.21,11.3,540
427,16000,0.07610220000000012,243131,0.001,9.059973239898682,0.52,241130,9.52,11.19,568
425,17000,0.05,253946,0.001,9.317121696472167,0.53,251940,41.53,10.61,596
423,18000,0.05,264763,0.001,9.428729820251466,0.46,262760,49.05,11.0,625
421,19000,0.05,275665,0.001,9.095070552825927,0.54,273660,43.52,10.92,654
419,20000,0.05,286370,0.001,9.273392486572266,0.48,284360,31.58,10.64,683
417,21000,0.05,297223,0.001,10.004998111724854,0.52,295220,39.05,11.02,711
415,22000,0.05,308023,0.001,9.709494304656982,0.54,306020,42.53,10.93,740
414,23000,0.05,318830,0.001,9.466496086120605,0.49,316820,34.73,10.79,769
413,24000,0.05,329526,0.001,9.552810001373292,0.57,327520,54.67,10.79,797
411,25000,0.05,340340,0.001,9.679024696350098,0.5,338330,33.48,11.03,826
411,26000,0.05,351045,0.001,10.131256198883056,0.48,349040,36.6,10.92,853
409,27000,0.05,361770,0.001,9.709708786010742,0.53,359760,45.39,11.0,882
408,28000,0.05,372652,0.001,10.165547180175782,0.38,370650,16.25,11.08,911
407,29000,0.05,383336,0.001,9.62444086074829,0.52,381330,47.69,11.13,939
406,30000,0.05,394132,0.001,10.109154605865479,0.46,392130,36.39,10.95,969
406,31000,0.05,404936,0.001,9.105869102478028,0.45,402930,34.51,10.88,997
405,32000,0.05,415639,0.001,9.268113327026366,0.53,413630,34.43,11.09,1025
404,33000,0.05,426428,0.001,9.595765304565429,0.49,424420,37.07,10.8,1053
403,34000,0.05,437109,0.001,9.4219575881958,0.52,435100,37.56,10.71,1082
403,35000,0.05,447725,0.001,9.881853103637695,0.52,445720,45.01,10.46,1110
402,36000,0.05,458418,0.001,9.967406463623046,0.51,456410,37.48,10.76,1138
401,37000,0.05,469168,0.001,9.52707872390747,0.51,467160,39.63,10.75,1167
401,38000,0.05,479984,0.001,9.915935802459718,0.45,477980,25.92,11.06,1195
400,39000,0.05,490651,0.001,9.743031787872315,0.44,488650,27.14,10.79,1224
